architecture,reference,candidate,mean_difference,bootstrap_ci95_low,bootstrap_ci95_high,positive_seeds,negative_seeds,ties,student_t_p,holm_adjusted_p
resnet18,slowheat,dualheat,-7.000000000000756e-05,-0.011890250000000008,0.008569999999999993,7,3,0,0.9901279758165862,1.0
resnet18,slowheat_lpr,dualheat_lpr,-0.0045700000000000185,-0.012260250000000025,0.0029502499999999768,2,8,0,0.298092095219909,1.0
resnet18,slowheat_classifier_expander,dualheat_classifier_expander,-0.0049600000000000035,-0.015729999999999977,0.006150249999999974,4,6,0,0.42041804282250006,1.0
resnet18,slowheat_scroll,dualheat_scroll,-0.0024699999999999835,-0.015739999999999983,0.012140250000000012,4,6,0,0.7497855850532427,1.0
