reference,candidate,n_pairs,accuracy_reference_percent,accuracy_candidate_percent,accuracy_delta_pp,accuracy_ci95_t_low_pp,accuracy_ci95_t_high_pp,accuracy_p_holm,forgetting_delta_pp,elapsed_ratio_of_means,estimated_flops_delta
vanilla,slowheat_hidden_beta_30_budget_0.25,10,19.624,19.514,-0.11000000000000038,-0.18697246217840685,-0.0330275378215939,0.0308289134220595,-0.14499999999999735,2.032109310904618,344385920.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,10,76.658,76.74399999999999,0.08599999999999941,-1.1486036900468237,1.3206036900468225,0.8782685595307579,-0.4625000000000015,1.7042456637378636,407300480.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,10,82.506,85.434,2.928000000000006,2.0133074127916437,3.842692587208369,0.00019445625771526766,-4.805000000000002,1.6331363336436355,407300480.0
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,10,70.704,71.13199999999999,0.4280000000000017,-0.048102730104946936,0.9041027301049505,0.14502240303498934,0.33499999999999974,1.6370051545139586,407300480.0
