method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1968,0.9924999999999999,-0.9924999999999999,-0.17775000000000002,0.7278,0.32875,0.531,1.6560802000458352,102400,102400,144231628800,0,0,0
slowheat_hidden_beta_30_budget_0.25,0.196,0.9914999999999999,-0.9914999999999999,-0.17775000000000002,0.715,0.34275,0.5189999999999999,3.372381180000957,102400,102400,144576014720,344385920,0,0
replay,0.7788,0.26525,-0.26525,-0.17775000000000002,0.9806000000000001,0.017000000000000015,0.2018000000000001,2.539442181994673,143360,143360,201924280320,0,628800,0
slowheat_replay_hidden_beta_30_budget_0.25,0.7533999999999998,0.29200000000000004,-0.29200000000000004,-0.17725000000000002,0.9825999999999999,0.01125000000000001,0.22920000000000007,4.239387102017645,143360,143360,202331580800,407300480,628800,0
derpp,0.817,0.21400000000000002,-0.21400000000000002,-0.17750000000000002,0.982,0.012250000000000011,0.16500000000000004,2.554439000959974,143360,143360,201924280320,0,628800,8000
slowheat_derpp_hidden_beta_30_budget_0.25,0.8474,0.17375,-0.17375,-0.17675000000000002,0.9836,0.01150000000000001,0.1362,4.317574850982055,143360,143360,202331580800,407300480,628800,8000
er_ace,0.6900000000000001,0.0695,0.4365,-0.17775000000000002,0.9827999999999999,0.013000000000000012,0.29279999999999984,2.6617717199842446,143360,143360,201924280320,0,628800,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.6990000000000001,0.064,0.45175,-0.17650000000000002,0.9857999999999999,0.007000000000000006,0.28679999999999983,4.206090451043565,143360,143360,202331580800,407300480,628800,0
