method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
slowheat,0.1222,0.822,-0.822,-0.09774999999999999,0.5218999999999999,0.32237499999999997,0.39969999999999994,206.37251741500222,201600,201600,671862384943630,23062831630,0,0,82128,82128,0,0,0,0,0.0
dualheat,0.1404,0.8118749999999999,-0.8118749999999999,-0.093375,0.5404,0.31187499999999996,0.4,217.20153822001885,201600,201600,672055456457230,216134345230,193071513600,7936,82128,90064,0,0,0,0,0.0
