method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1733,0.8240000000000001,-0.8240000000000001,-0.14475000000000002,0.5869,0.307,0.41359999999999997,10.29004510800587,403200,403200,8890889011200,0,0,0
slowheat,0.1671,0.817,-0.817,-0.14125000000000001,0.5695,0.31399999999999995,0.4024,21.201611365017015,403200,403200,8904964022740,14075011540,0,0
slowheat_beta_10,0.1698,0.8205,-0.8205,-0.14125000000000001,0.5531,0.341375,0.38330000000000003,21.214053436007816,403200,403200,8904964022740,14075011540,0,0
slowheat_beta_30,0.1671,0.817,-0.817,-0.14125000000000001,0.5695,0.31399999999999995,0.4024,21.204558900994016,403200,403200,8904964022740,14075011540,0,0
slowheat_beta_100,0.1718,0.8205,-0.8205,-0.14125000000000001,0.6165,0.264625,0.44470000000000004,21.141267970000627,403200,403200,8904964022740,14075011540,0,0
slowheat_adaptive,0.1688,0.816625,-0.816625,-0.14125000000000001,0.5824999999999999,0.29950000000000004,0.4136999999999999,21.137289676000364,403200,403200,8904964022740,14075011540,0,0
slowheat_native_state,0.172,0.823375,-0.823375,-0.1425,0.5759,0.31850000000000006,0.4039,18.77632681801333,403200,403200,8904964022740,14075011540,0,0
slowheat_unidirectional,0.1693,0.8244999999999999,-0.8244999999999999,-0.14125000000000001,0.6064999999999999,0.278,0.4371999999999999,20.81747994001489,403200,403200,8904964022740,14075011540,0,0
slowheat_unbudgeted,0.16699999999999998,0.8215,-0.8215,-0.14125000000000001,0.5622,0.3275,0.39520000000000005,21.136275028984528,403200,403200,8904964022740,14075011540,0,0
slowheat_none,0.1739,0.8215,-0.8215,-0.14125000000000001,0.6182,0.266125,0.4443,20.511059674987337,403200,403200,8904963948300,14074937100,0,0
hard_freeze,0.1726,0.8127500000000001,-0.8127500000000001,-0.14,0.6105,0.26775000000000004,0.43790000000000007,20.89448578900192,403200,403200,8904964022740,14075011540,0,0
replay,0.1989,0.7842500000000001,-0.7842500000000001,-0.144375,0.7081,0.15012499999999998,0.5092,14.617926503997296,564480,564480,12447244615680,0,2459200,0
distillation,0.1738,0.8236249999999999,-0.8236249999999999,-0.14475000000000002,0.6716,0.20187500000000003,0.49779999999999996,11.862335058976896,403200,725760,11261792747520,0,0,0
slowheat_replay,0.1984,0.7909999999999999,-0.7909999999999999,-0.13962499999999997,0.7331,0.124,0.5347,25.616724277002504,564480,564480,12462316982740,15072367060,2459200,0
slowheat_distillation,0.1682,0.8236249999999999,-0.8236249999999999,-0.14125000000000001,0.6517,0.21925,0.48349999999999993,23.20588075098931,403200,725760,11275867759060,14075011540,0,0
derpp,0.21150000000000002,0.7838750000000001,-0.7838750000000001,-0.144625,0.7045,0.168875,0.493,15.082547250989592,564480,564480,12447244615680,0,2459200,8000
