method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1722,0.85475,-0.85475,-0.10562500000000002,0.6124,0.3045,0.44020000000000004,7.900867583986837,201600,201600,6780882124800,0,0,0,0,0,0.0
slowheat_none,0.17270000000000002,0.8542500000000001,-0.8542500000000001,-0.10562500000000002,0.6307,0.28175000000000006,0.458,12.888752578001004,201600,201600,6781002193350,120068550,0,0,0,0,0.0
slowheat_unidirectional,0.1686,0.818,-0.818,-0.10475000000000001,0.5805,0.30312500000000003,0.41190000000000004,12.331261776998872,201600,201600,6781002196270,120071470,0,0,0,0,0.0
slowheat,0.1603,0.80225,-0.80225,-0.10462500000000002,0.5943999999999999,0.259625,0.43409999999999993,12.837775060004788,201600,201600,6781002196270,120071470,0,0,0,0,0.0
hard_freeze,0.1618,0.7885,-0.7885,-0.10450000000000001,0.6418,0.18850000000000003,0.48000000000000004,12.41888325297623,201600,201600,6781002196270,120071470,0,0,0,0,0.0
lpr,0.3608,0.620875,-0.620875,0.07012499999999998,0.8305,0.051125000000000004,0.4697,11.208532627002569,282240,286520,9558831581462,17610205462,2459200,0,6400,0,0.013192976010031998
slowheat_lpr,0.3781,0.57575,-0.57575,-0.0030000000000000027,0.8150000000000001,0.06312499999999999,0.43690000000000007,15.172649162006564,282240,286520,9558970506742,17749130742,2459200,0,6400,0,0.01227026098058559
classifier_expander,0.3457,0.30074999999999996,-0.23124999999999998,0.034999999999999976,0.8051,0.055749999999999994,0.45940000000000003,11.926675807975698,282944,363584,10421031862272,0,2459200,0,6400,0,0.013003247004235163
slowheat_classifier_expander,0.3228,0.277875,-0.15399999999999997,-0.02537500000000001,0.7861,0.05949999999999997,0.46330000000000005,15.616300291992957,282944,363584,10421170787552,138925280,2459200,0,6400,0,0.01306492299772799
scroll,0.33330000000000004,0.2845,-0.21699999999999997,-0.207375,0.7540999999999999,0.018875000000000003,0.42079999999999984,2.778167084994493,41088,81088,1835848189829,5368792965,2459200,0,6400,0,0.013062098965747282
slowheat_scroll,0.3902,0.30300000000000005,-0.30300000000000005,-0.207375,0.7848999999999999,0.04012500000000002,0.39469999999999994,3.5115266510110814,41088,81088,1835869783909,5390387045,2459200,0,6400,0,0.01293940600589849
