method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.054700000000000006,0.5292222222222223,-0.5292222222222223,-0.027666666666666666,0.16560000000000002,0.40599999999999997,0.11090000000000003,11.218366080953274,409600,409600,9145260441600,0,0,0
slowheat_hidden_beta_30_budget_0.25,0.0533,0.5288888888888889,-0.5288888888888889,-0.027666666666666666,0.1727,0.3962222222222222,0.11939999999999999,20.888129454979207,409600,409600,9159526138880,14265697280,0,0
replay,0.0901,0.4772222222222222,-0.4772222222222222,-0.027666666666666666,0.3888,0.16288888888888892,0.29869999999999997,16.02773753600195,593920,593920,13260627640320,0,24592000,0
slowheat_replay_hidden_beta_30_budget_0.25,0.0972,0.48066666666666674,-0.48066666666666674,-0.027666666666666666,0.4343,0.12144444444444441,0.3371,25.996790744015016,593920,593920,13276025799680,15398159360,24592000,0
derpp,0.10819999999999999,0.4441111111111111,-0.4441111111111111,-0.027444444444444445,0.3899,0.1618888888888889,0.28170000000000006,16.97070122201694,593920,593920,13260627640320,0,24592000,800000
slowheat_derpp_hidden_beta_30_budget_0.25,0.1045,0.4424444444444444,-0.4424444444444444,-0.027444444444444445,0.41719999999999996,0.12322222222222225,0.3127,26.67594983498566,593920,593920,13276025799680,15398159360,24592000,800000
er_ace,0.1329,0.15322222222222223,0.033,-0.024666666666666667,0.4467,0.10722222222222223,0.31379999999999997,16.517214644001797,593920,593920,13260627640320,0,24592000,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.14090000000000003,0.14988888888888885,0.06677777777777777,-0.02411111111111111,0.46630000000000005,0.096,0.3254,25.826672279043123,593920,593920,13276025799680,15398159360,24592000,0
