reference,candidate,n_pairs,accuracy_reference_percent,accuracy_candidate_percent,accuracy_delta_pp,accuracy_ci95_t_low_pp,accuracy_ci95_t_high_pp,accuracy_p_holm,forgetting_delta_pp,elapsed_ratio_of_means,estimated_flops_delta
vanilla,slowheat_hidden_beta_30_budget_0.25,10,72.34,80.0128,7.672799999999999,5.192592032910389,10.153007967089609,0.00025348286180849834,-10.0075,2.045363885805636,3659566080.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,10,93.55399999999999,93.9748,0.42080000000000223,0.2382467980194479,0.6033532019805566,0.0011065470650651827,-1.0809999999999982,1.7537713206639587,4280847360.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,10,95.6332,95.7344,0.10119999999999794,0.01351126113875678,0.1888887388612391,0.028237627571679556,-0.46249999999999813,1.6461497134777268,4280847360.0
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,10,93.5424,94.0764,0.5339999999999978,0.3412113507073745,0.7267886492926211,0.00044047414213532776,-1.2245000000000006,1.656272301300185,4280847360.0
