method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1708,0.857875,-0.857875,-0.013999999999999993,0.5647,0.36550000000000005,0.3939,7.781610115998774,201600,201600,6780882124800,0,0,0
slowheat_none,0.16970000000000002,0.85475,-0.85475,-0.014124999999999993,0.5557000000000001,0.37225,0.38600000000000007,12.879380039001262,201600,201600,6781002193350,120068550,0,0
slowheat_unidirectional_beta_3_budget_0.50,0.175,0.839125,-0.839125,-0.013874999999999993,0.5875,0.3235,0.41250000000000003,12.629723587000626,201600,201600,6781002196270,120071470,0,0
slowheat_unidirectional_beta_3_budget_0.75,0.1699,0.84775,-0.84775,-0.013999999999999993,0.6038,0.30537499999999995,0.4339,12.487262204002036,201600,201600,6781002196270,120071470,0,0
slowheat_unidirectional_beta_10_budget_0.50,0.1746,0.839,-0.839,-0.013999999999999993,0.6662000000000001,0.2245,0.49160000000000015,12.169953264001379,201600,201600,6781002196270,120071470,0,0
slowheat_unidirectional_beta_10_budget_0.75,0.161,0.84775,-0.84775,-0.013999999999999993,0.6373,0.252375,0.47629999999999995,12.164525244999822,201600,201600,6781002196270,120071470,0,0
slowheat_hidden_beta_3_budget_0.50,0.1733,0.8472500000000001,-0.8472500000000001,-0.014249999999999994,0.5867000000000001,0.3305,0.4134000000000001,11.250199977999728,201600,201600,6780990084320,107959520,0,0
slowheat_hidden_beta_3_budget_0.75,0.1741,0.84625,-0.84625,-0.014124999999999993,0.6218999999999999,0.2865,0.44779999999999986,11.316234695997991,201600,201600,6780990084320,107959520,0,0
slowheat_hidden_beta_10_budget_0.50,0.1731,0.84125,-0.84125,-0.014124999999999993,0.6287,0.27175,0.4556,11.319735789002152,201600,201600,6780990084320,107959520,0,0
slowheat_hidden_beta_10_budget_0.75,0.1714,0.846125,-0.846125,-0.013999999999999993,0.6241,0.28025,0.4527,11.355018056998233,201600,201600,6780990084320,107959520,0,0
