method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
replay,0.7696,0.272,-0.272,-0.22825,0.9838000000000001,0.01050000000000001,0.21420000000000017,3.105095462000463,143360,143360,201924280320,0,628800,0,6400,0,0.00943407501472393
slowheat_replay_hidden_beta_30_budget_0.25,0.7734,0.265,-0.265,-0.22825,0.9790000000000001,0.013000000000000012,0.20560000000000012,4.766602354997303,143360,143360,202331580800,407300480,628800,0,6400,0,0.00853181099955691
