method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.17529999999999998,0.85075,-0.85075,-0.10487500000000002,0.6481,0.25975,0.4728,7.968398844997864,201600,201600,6780882124800,0,0,0,0,0,0.0
slowheat_hidden_beta_30_budget_0.25,0.1712,0.829875,-0.829875,-0.10500000000000001,0.7278,0.13412500000000002,0.5566,11.512558656999317,201600,201600,6780990084320,107959520,0,0,0,0,0.0
