method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.188,0.9067500000000001,-0.9067500000000001,-0.124625,0.5956,0.39725,0.4076,53.57806238398189,201600,201600,184790030745600,0,0,0,0,0,0.0
slowheat_none,0.1878,0.89975,-0.89975,-0.122375,0.5852,0.40299999999999997,0.3974000000000001,86.46691134999855,201600,201600,184806788358150,16757612550,0,0,0,0,0.0
slowheat_unidirectional,0.18109999999999998,0.9018750000000001,-0.9018750000000001,-0.124375,0.5926,0.3875,0.41150000000000003,94.06373190501472,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
slowheat,0.1795,0.89175,-0.89175,-0.123875,0.5794,0.391875,0.39990000000000003,98.1907543700072,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
hard_freeze,0.15819999999999998,0.819875,-0.819875,-0.123,0.5088,0.38175000000000003,0.3506,100.8393807009852,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
lpr,0.23920000000000002,0.8345,-0.8345,-0.12325,0.7711,0.1705,0.5319,99.21875239099609,282240,282680,353954071976920,95113591741400,2459200,0,6400,0,0.013445299031445757
slowheat_lpr,0.2723,0.7878749999999999,-0.7878749999999999,-0.122,0.7655000000000001,0.17387499999999997,0.4932000000000001,145.7739093300188,282240,282680,353971701249880,95131221014360,2459200,0,6400,0,0.012886835960671306
classifier_expander,0.43620000000000003,0.326125,-0.2895,-0.123375,0.8523999999999999,0.07987499999999997,0.4161999999999999,86.25043073898996,282944,363584,283990012329984,0,2459200,0,6400,0,0.012773499998729676
slowheat_classifier_expander,0.44309999999999994,0.30425,-0.02912499999999997,-0.122125,0.8402000000000001,0.08574999999999997,0.3971000000000001,130.14463739198982,282944,363584,284007641602944,17629272960,2459200,0,6400,0,0.012804952944861725
scroll,0.1001,0.4645,-0.331,-0.125,0.492,0.12825,0.3919,18.70497216799413,41088,81088,49905259599493,21728548485,2459200,0,6400,0,0.01419130398426205
slowheat_scroll,0.24000000000000005,0.16849999999999998,-0.084375,-0.125,0.708,0.014000000000000012,0.4679999999999999,25.407968259998597,41088,81088,49908608012293,25076961285,2459200,0,6400,0,0.014013329957379028
