method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1875,0.900375,-0.900375,0.0,0.6016,0.38275000000000003,0.4141,36.43819644898758,201600,201600,184790030745600,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1873,0.893375,-0.893375,0.000125,0.5969,0.381375,0.40959999999999996,44.004890237993095,201600,201600,184888347033600,98316288000,98316288000,11008,0,11008,0,0,0,0,0.0
slowheat,0.176,0.884,-0.884,0.0,0.5739,0.38662500000000005,0.3979,60.28462194700842,201600,201600,184806788477390,16757731790,0,0,33324,33324,0,0,0,0,0.0
dualheat,0.1736,0.85025,-0.85025,0.0,0.5736,0.35025,0.4,68.58664940000745,201600,201600,184905104765390,115074019790,98316288000,11008,33324,44332,0,0,0,0,0.0
lpr,0.23500000000000001,0.8362499999999999,-0.8362499999999999,0.0,0.7824000000000001,0.1525,0.5474000000000001,67.01847033802187,282240,282680,353954071976920,95113591741400,0,0,0,0,2459200,0,6400,0,0.012637838983209804
slowheat_lpr,0.2529,0.802125,-0.802125,0.0,0.7692000000000001,0.15775,0.5163000000000001,90.09027854900341,282240,282680,353971701249880,95131221014360,0,0,33184,33184,2459200,0,6400,0,0.012810896034352481
dualheat_lpr,0.2557,0.798125,-0.798125,0.0,0.7411000000000001,0.19237500000000005,0.4854000000000001,96.65250626398483,282240,282680,354109558632280,95269078396760,137857382400,11008,33184,44192,2459200,0,6400,0,0.012579358997754753
classifier_expander,0.42889999999999995,0.293625,-0.23475,0.0,0.8349,0.08487499999999995,0.406,56.18538128599175,282944,363584,283990012329984,0,0,0,0,0,2459200,0,6400,0,0.012671836011577398
slowheat_classifier_expander,0.44489999999999996,0.2965,-0.08700000000000002,0.0,0.8465,0.07674999999999996,0.40160000000000007,81.01415527198697,282944,363584,284007641602944,17629272960,0,0,33184,33184,2459200,0,6400,0,0.013099914009217173
dualheat_classifier_expander,0.42139999999999994,0.22249999999999998,0.06225000000000001,0.0,0.8497,0.055499999999999994,0.42830000000000007,86.59027564100688,282944,363584,284184954248064,194941918080,177312645120,11008,33184,44192,2459200,0,6400,0,0.012513224966824055
scroll,0.1343,0.381125,-0.381125,0.0,0.5317,0.10849999999999999,0.3974,12.164025684003718,41088,81088,49905259599493,21728548485,0,0,0,0,2459200,0,6400,0,0.013508265081327409
slowheat_scroll,0.252,0.128125,-0.07675,0.0,0.6308999999999999,0.045125,0.3788999999999999,15.779877086024499,41088,81088,49908608012293,25076961285,0,0,33184,33184,2459200,0,6400,0,0.012735996977426112
dualheat_scroll,0.21769999999999995,0.16749999999999998,-0.151,0.0,0.6212000000000001,0.04599999999999997,0.40350000000000014,16.87695517699467,41088,81088,49948153008133,64621957125,39544995840,11008,33184,44192,2459200,0,6400,0,0.012715688004391268
