method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.16970000000000002,0.8368749999999999,-0.8368749999999999,-0.108875,0.5695,0.337125,0.3998,127.30707870100741,201600,201600,671839322112000,0,0,0,0,0,0.0
slowheat_none,0.17470000000000002,0.836875,-0.836875,-0.108875,0.5747,0.33687500000000004,0.39999999999999997,173.8467498109967,201600,201600,671862384663750,23062551750,0,0,0,0,0.0
slowheat_unidirectional,0.1718,0.8423750000000001,-0.8423750000000001,-0.108875,0.5521,0.36700000000000005,0.3803,155.05105861800257,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
slowheat,0.1247,0.803125,-0.803125,-0.108875,0.5246999999999999,0.303125,0.3999999999999999,185.89500758002396,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
hard_freeze,0.1469,0.753625,-0.753625,-0.108875,0.5469,0.253625,0.4,183.5928606079833,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
lpr,0.2734,0.7577499999999999,-0.7577499999999999,-0.108875,0.7811999999999999,0.12437500000000001,0.5077999999999999,192.61411092299386,282240,282680,1044729819647380,103665996696980,2459200,0,6400,0,0.012675289966864511
slowheat_lpr,0.24619999999999997,0.75575,-0.75575,-0.108875,0.761,0.114875,0.5148,251.92269014500198,282240,282680,1044755054582100,103691231631700,2459200,0,6400,0,0.0130613099609036
classifier_expander,0.3618,0.357,-0.27837500000000004,-0.108875,0.8047000000000001,0.070625,0.44290000000000007,196.86129392500152,282944,363584,1032499732807680,0,2459200,0,6400,0,0.012738228979287669
slowheat_classifier_expander,0.3387,0.347125,-0.25525,-0.108875,0.8199,0.03862499999999999,0.48119999999999996,256.4795099749754,282944,363584,1032524967742400,25234934720,2459200,0,6400,0,0.013181818998418748
scroll,0.1431,0.36025,-0.30362500000000003,-0.108875,0.51,0.05349999999999999,0.3669,39.9106439500174,41088,81088,181382798464645,21728548485,2459200,0,6400,0,0.01318473502760753
slowheat_scroll,0.23410000000000003,0.187875,-0.15899999999999997,-0.108875,0.6612,0.024375000000000008,0.4271,49.46280918701086,41088,81088,181387408025925,26338109765,2459200,0,6400,0,0.012729362992104143
