method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
vanilla,0.17179000000000003,0.0019433361921076722,0.0012044922507937603,0.8283750000000001,0.004069278532833264,0.002522164965086752,-0.8283750000000001,0.004069278532833264,0.002522164965086752,-0.10417500000000002,0.06338066214022485,0.03928374138665171,0.59129,0.018895646176948912,0.01171164283684307,0.304,0.022582257046923678,0.013996627927230674,0.41950000000000004,0.01916455060782797,0.011878311529842941,10.212675344507442,0.1650792344503914,0.10231716955099353,403200.0,0.0,0.0,403200.0,0.0,0.0,8890889011200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_hidden_beta_30_budget_0.25,0.17174999999999999,0.00105540934659917,0.0006541494902203583,0.828725,0.0032791428419295713,0.0020324337900928468,-0.828725,0.0032791428419295713,0.0020324337900928468,-0.10342499999999999,0.06573313049326376,0.04074181637798905,0.58131,0.020627944907603182,0.012785332713873535,0.316775,0.025766364810651032,0.015970158365596197,0.40956000000000004,0.020417378218893202,0.012654822128079626,19.569689363992076,0.37890902233393475,0.2348502451663173,403200.0,0.0,0.0,403200.0,0.0,0.0,8904931735040.0,0.0,0.0,14042723840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replay,0.20365000000000003,0.004161530167298246,0.0025793431205121476,0.7849625,0.006177931715208366,0.0038291217480136298,-0.7849625,0.006177931715208366,0.0038291217480136298,-0.1033125,0.06368938430862014,0.03947508936904949,0.70403,0.017568915099623467,0.010889326395655104,0.16125,0.022197112549959187,0.013757912894847905,0.5003799999999999,0.01790337026000039,0.011096623851724746,14.11752678870107,0.6095971026290627,0.37783219867206214,564480.0,0.0,0.0,564480.0,0.0,0.0,12447244615680.0,0.0,0.0,0.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay_hidden_beta_30_budget_0.25,0.20712999999999998,0.003821590710104314,0.0023686464620584972,0.7835,0.004529609377320629,0.0028074809784652843,-0.7835,0.004529609377320629,0.0028074809784652843,-0.10306250000000002,0.06592541687602572,0.04086099671277134,0.7191400000000001,0.012114289083557498,0.007508514164600086,0.14521250000000002,0.01512081553686838,0.0093719785664501,0.51201,0.012513232995513218,0.007755782163005886,23.936576483398674,0.20717913328923926,0.1284109571913072,564480.0,0.0,0.0,564480.0,0.0,0.0,12462278243840.0,0.0,0.0,15033628160.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0
derpp,0.22111,0.004169052650183246,0.00258400560370909,0.767775,0.004844742281873968,0.003002802376299672,-0.767775,0.004844742281873968,0.003002802376299672,-0.10451250000000001,0.06366646078718893,0.03946088122326548,0.67855,0.011010828003984648,0.006824581901723579,0.19753749999999998,0.014163976460255308,0.008778923562525567,0.45743999999999996,0.01400580831893203,0.008680889932873604,14.920945498603396,0.14666512349470046,0.09090398533641303,564480.0,0.0,0.0,564480.0,0.0,0.0,12447244615680.0,0.0,0.0,0.0,0.0,0.0,2459200.0,0.0,0.0,8000.0,0.0,0.0
slowheat_derpp_hidden_beta_30_budget_0.25,0.20978,0.004679933522794718,0.002900652849120541,0.7801374999999999,0.006684468419818888,0.004143076450202482,-0.7801374999999999,0.006684468419818888,0.004143076450202482,-0.103375,0.06579112571025231,0.040777762185888626,0.6863400000000001,0.013590944697767591,0.00842375479647353,0.18565,0.017052797913148045,0.010569433649286347,0.47656,0.014176757190713379,0.008786845141333573,24.216475837508916,0.21012737061980688,0.1302382936205836,564480.0,0.0,0.0,564480.0,0.0,0.0,12462278243840.0,0.0,0.0,15033628160.0,0.0,0.0,2459200.0,0.0,0.0,8000.0,0.0,0.0
er_ace,0.26005,0.009047068278975485,0.005607431014089944,0.24966249999999998,0.02194603941109496,0.013602296151140558,0.03133750000000002,0.018894540106425807,0.011710957287230338,-0.09212499999999998,0.06472948516711684,0.040119750560042106,0.7446600000000001,0.011357151442544447,0.007039235392821847,0.11047500000000002,0.014571399879367954,0.009031447213917477,0.4846100000000001,0.01577074999977986,0.009774812120047247,14.751391066389624,0.14398610895189565,0.08924351491977738,564480.0,0.0,0.0,564480.0,0.0,0.0,12447244615680.0,0.0,0.0,0.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.30152999999999996,0.012425962962907787,0.007701691636401864,0.22231249999999997,0.010025358472393879,0.0062137815579564664,0.06413750000000001,0.021068955077448798,0.013058673649043465,-0.095125,0.06816355942388376,0.04224821183592665,0.7769,0.009304479208066043,0.0057669759608770105,0.07531249999999999,0.013433639626367493,0.008326256103102064,0.47537,0.00889120039389761,0.005510823098029731,23.78207465450396,0.5025655963300499,0.31149338377656843,564480.0,0.0,0.0,564480.0,0.0,0.0,12462278243840.0,0.0,0.0,15033628160.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0
