method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1723,0.847125,-0.847125,-0.13424999999999998,0.6487,0.251625,0.47640000000000005,7.975346933002584,201600,201600,6780882124800,0,0,0,0,0,0.0
slowheat_none,0.1743,0.8435,-0.8435,-0.13462499999999997,0.6549,0.24275,0.4806,12.932022752997,201600,201600,6781002193350,120068550,0,0,0,0,0.0
slowheat_unidirectional,0.1664,0.813375,-0.813375,-0.13499999999999998,0.567,0.312625,0.40059999999999996,12.471031160996063,201600,201600,6781002196270,120071470,0,0,0,0,0.0
slowheat,0.1499,0.78925,-0.78925,-0.13424999999999998,0.5619,0.27425,0.4119999999999999,12.917447473999346,201600,201600,6781002196270,120071470,0,0,0,0,0.0
hard_freeze,0.1564,0.786,-0.786,-0.13424999999999998,0.5727,0.265625,0.4163,12.71622852399014,201600,201600,6781002196270,120071470,0,0,0,0,0.0
lpr,0.366,0.6123750000000001,-0.6123750000000001,-0.06924999999999999,0.8126,0.07012499999999999,0.4466,11.250612469011685,282240,286520,9558831581462,17610205462,2459200,0,6400,0,0.012261985015356913
slowheat_lpr,0.37620000000000003,0.56225,-0.56225,-0.07787499999999999,0.8009999999999999,0.0685,0.4247999999999999,15.056459413986886,282240,286520,9558970506742,17749130742,2459200,0,6400,0,0.012539969000499696
classifier_expander,0.31120000000000003,0.352875,-0.308,-0.0033749999999999995,0.7997,0.058000000000000024,0.48849999999999993,12.02386900599231,282944,363584,10421031862272,0,2459200,0,6400,0,0.01251061400398612
slowheat_classifier_expander,0.3101,0.28374999999999995,-0.20675,-0.016624999999999987,0.7826,0.05462500000000001,0.4725,15.605487280001398,282944,363584,10421170787552,138925280,2459200,0,6400,0,0.013846296002157032
scroll,0.3168,0.28112499999999996,-0.1645,-0.19649999999999998,0.7204999999999999,0.026000000000000023,0.4036999999999999,2.7936538869980723,41088,81088,1835848189829,5368792965,2459200,0,6400,0,0.01244951898115687
slowheat_scroll,0.3782,0.238125,-0.21625,-0.19649999999999998,0.7617,0.031375000000000014,0.38350000000000006,3.516139780986123,41088,81088,1835869783909,5390387045,2459200,0,6400,0,0.014085489005083218
