method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1867,0.8727499999999999,-0.8727499999999999,0.0,0.5879,0.37124999999999997,0.4012,36.4901618869917,201600,201600,184790030745600,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1859,0.8803749999999999,-0.8803749999999999,0.0,0.5909,0.37412499999999993,0.40499999999999997,43.440823505981825,201600,201600,184888347033600,98316288000,98316288000,11008,0,11008,0,0,0,0,0.0
slowheat,0.1731,0.872,-0.872,0.0,0.5763,0.368,0.4032,60.43005330700544,201600,201600,184806788477390,16757731790,0,0,33324,33324,0,0,0,0,0.0
dualheat,0.16570000000000001,0.827,-0.827,0.0,0.5827,0.30574999999999997,0.417,67.1387335830077,201600,201600,184905104765390,115074019790,98316288000,11008,33324,44332,0,0,0,0,0.0
lpr,0.22139999999999999,0.8503750000000001,-0.8503750000000001,0.0,0.7553,0.18324999999999997,0.5339,67.3935268339992,282240,282680,353954071976920,95113591741400,0,0,0,0,2459200,0,6400,0,0.01253166698734276
slowheat_lpr,0.2677,0.7722500000000001,-0.7722500000000001,0.0,0.7905,0.12062500000000001,0.5227999999999999,92.20373441898846,282240,282680,353971701249880,95131221014360,0,0,33184,33184,2459200,0,6400,0,0.014160264079691842
dualheat_lpr,0.2989,0.7435,-0.7435,0.0,0.769,0.15987499999999996,0.4701,97.16281024599448,282240,282680,354109558632280,95269078396760,137857382400,11008,33184,44192,2459200,0,6400,0,0.01318377794814296
classifier_expander,0.41,0.35375000000000006,-0.27787500000000004,0.0,0.8283000000000001,0.09049999999999997,0.41830000000000017,56.35114532199805,282944,363584,283990012329984,0,0,0,0,0,2459200,0,6400,0,0.013183066039346159
slowheat_classifier_expander,0.42780000000000007,0.263375,-0.05950000000000002,0.0,0.8615999999999999,0.049875,0.43379999999999985,81.08650963898981,282944,363584,284007641602944,17629272960,0,0,33184,33184,2459200,0,6400,0,0.012724308035103604
dualheat_classifier_expander,0.4707,0.197875,0.101,0.0,0.8640000000000001,0.045499999999999985,0.3933000000000001,86.76414995500818,282944,363584,284184954248064,194941918080,177312645120,11008,33184,44192,2459200,0,6400,0,0.012692027987213805
scroll,0.0995,0.4095,-0.39812500000000006,0.0,0.4997,0.0935,0.4002,12.191554794000695,41088,81088,49905259599493,21728548485,0,0,0,0,2459200,0,6400,0,0.013300949038239196
slowheat_scroll,0.2246,0.1875,-0.162125,0.0,0.6471,0.03925000000000001,0.4225,15.868649016018026,41088,81088,49908608012293,25076961285,0,0,33184,33184,2459200,0,6400,0,0.013090480992104858
dualheat_scroll,0.2264,0.22775,-0.22775,0.0,0.6503,0.03274999999999999,0.4239,16.919770865002647,41088,81088,49948153008133,64621957125,39544995840,11008,33184,44192,2459200,0,6400,0,0.013105910969898105
