method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1878,0.8873749999999999,-0.8873749999999999,-0.2485,0.6098,0.35987499999999994,0.42200000000000004,36.443755327985855,201600,201600,184790030745600,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1861,0.88625,-0.88625,-0.246,0.5860000000000001,0.38637499999999997,0.3999000000000001,43.38729861998581,201600,201600,184888347033600,98316288000,98316288000,11008,0,11008,0,0,0,0,0.0
slowheat,0.177,0.854125,-0.854125,-0.24662499999999998,0.5712999999999999,0.36124999999999996,0.39429999999999993,60.0583079700009,201600,201600,184806788477390,16757731790,0,0,33324,33324,0,0,0,0,0.0
dualheat,0.1721,0.867,-0.867,-0.243375,0.5721,0.36700000000000005,0.4,66.8688070900098,201600,201600,184905104765390,115074019790,98316288000,11008,33324,44332,0,0,0,0,0.0
lpr,0.2685,0.791375,-0.791375,-0.24712499999999998,0.7630000000000001,0.17550000000000002,0.4945000000000001,67.51788364199456,282240,282680,353954071976920,95113591741400,0,0,0,0,2459200,0,6400,0,0.012094910052837804
slowheat_lpr,0.2852,0.771375,-0.771375,-0.24712499999999998,0.7803000000000001,0.15375,0.4951000000000001,92.28730275298585,282240,282680,353971701249880,95131221014360,0,0,33184,33184,2459200,0,6400,0,0.012150605005444959
dualheat_lpr,0.2813,0.758875,-0.758875,-0.246125,0.7669,0.156625,0.48560000000000003,97.32274984099786,282240,282680,354109558632280,95269078396760,137857382400,11008,33184,44192,2459200,0,6400,0,0.01222551497630775
classifier_expander,0.4297000000000001,0.35787499999999994,-0.285875,-0.246875,0.8513999999999999,0.06549999999999997,0.42169999999999985,56.240414943982614,282944,363584,283990012329984,0,0,0,0,0,2459200,0,6400,0,0.012547963007818907
slowheat_classifier_expander,0.46820000000000006,0.21237499999999998,0.0027500000000000163,-0.244875,0.8667999999999999,0.04099999999999998,0.39859999999999984,79.82893294701353,282944,363584,284007641602944,17629272960,0,0,33184,33184,2459200,0,6400,0,0.013179815956391394
dualheat_classifier_expander,0.44020000000000004,0.169,0.08649999999999998,-0.244875,0.8622,0.04987500000000003,0.42199999999999993,86.83873038401362,282944,363584,284184954248064,194941918080,177312645120,11008,33184,44192,2459200,0,6400,0,0.01301176700508222
scroll,0.10200000000000001,0.398875,-0.24162499999999998,-0.25,0.49829999999999997,0.16500000000000004,0.3963,12.191115460009314,41088,81088,49905259599493,21728548485,0,0,0,0,2459200,0,6400,0,0.013162912044208497
slowheat_scroll,0.21839999999999998,0.243875,-0.196,-0.25,0.6944,0.022375000000000034,0.47600000000000003,15.804740566003602,41088,81088,49908608012293,25076961285,0,0,33184,33184,2459200,0,6400,0,0.01296917803119868
dualheat_scroll,0.24410000000000004,0.12312500000000003,-0.10200000000000002,-0.25,0.6630999999999999,0.024749999999999994,0.4189999999999999,16.9077163549955,41088,81088,49948153008133,64621957125,39544995840,11008,33184,44192,2459200,0,6400,0,0.012872064020484686
