method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.19619999999999999,0.99175,-0.99175,-0.2525,0.7889999999999999,0.25075000000000003,0.5928,1.6230003040400334,102400,102400,144231628800,0,0,0
slowheat_hidden_beta_30_budget_0.25,0.195,0.99125,-0.99125,-0.2525,0.7338,0.31775,0.5388,3.0635543370153755,102400,102400,144576014720,344385920,0,0
replay,0.7782,0.26225,-0.26225,-0.24425,0.9805999999999999,0.013000000000000012,0.2023999999999999,2.3464592689997517,143360,143360,201924280320,0,628800,0
slowheat_replay_hidden_beta_30_budget_0.25,0.772,0.26649999999999996,-0.26649999999999996,-0.252,0.9802,0.01050000000000001,0.20819999999999994,4.235550903016701,143360,143360,202331580800,407300480,628800,0
derpp,0.8286,0.20075,-0.20075,-0.25125,0.9864,0.008750000000000008,0.15780000000000005,2.7351987549918704,143360,143360,201924280320,0,628800,8000
slowheat_derpp_hidden_beta_30_budget_0.25,0.8624,0.14125,-0.14125,-0.2525,0.9846,0.005750000000000005,0.12219999999999998,4.26465346000623,143360,143360,202331580800,407300480,628800,8000
er_ace,0.7242000000000001,0.027499999999999997,0.4485,-0.2525,0.983,0.01075000000000001,0.2587999999999999,2.622545749996789,143360,143360,201924280320,0,628800,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.7104000000000001,0.049000000000000016,0.50525,-0.2525,0.982,0.010000000000000009,0.27159999999999984,4.156458123004995,143360,143360,202331580800,407300480,628800,0
