method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.196,0.9925,-0.9925,-0.03425,0.6552,0.4185,0.4592,1.658836254995549,102400,102400,144231628800,0,0,0
slowheat,0.1928,0.99025,-0.99025,-0.03425,0.6942,0.36349999999999993,0.5014000000000001,3.915525107004214,102400,102400,144581142920,349514120,0,0
slowheat_beta_10,0.1948,0.99125,-0.99125,-0.03425,0.681,0.38349999999999995,0.4862000000000001,3.9153753069986124,102400,102400,144581142920,349514120,0,0
slowheat_beta_30,0.1928,0.99025,-0.99025,-0.03425,0.6942,0.36349999999999993,0.5014000000000001,3.910359072004212,102400,102400,144581142920,349514120,0,0
slowheat_beta_100,0.19,0.9904999999999999,-0.9904999999999999,-0.03425,0.618,0.4555,0.428,3.919943807995878,102400,102400,144581142920,349514120,0,0
slowheat_adaptive,0.1946,0.99025,-0.99025,-0.03425,0.637,0.43725,0.4424,3.9128057929920033,102400,102400,144581142920,349514120,0,0
slowheat_native_state,0.1954,0.99275,-0.99275,-0.03425,0.8442000000000001,0.18175,0.6488,3.5447536959836725,102400,102400,144581142920,349514120,0,0
slowheat_unidirectional,0.1958,0.9929999999999999,-0.9929999999999999,-0.03425,0.7798,0.26299999999999996,0.5840000000000001,3.8429690150078386,102400,102400,144581142920,349514120,0,0
slowheat_unbudgeted,0.1926,0.992,-0.992,-0.03425,0.6794,0.38349999999999995,0.4868,3.915651593997609,102400,102400,144581142920,349514120,0,0
slowheat_none,0.1956,0.99275,-0.99275,-0.03425,0.6539999999999999,0.41974999999999996,0.4583999999999999,3.885415833006846,102400,102400,144581128000,349499200,0,0
hard_freeze,0.2008,0.9797499999999999,-0.9797499999999999,-0.03425,0.8404,0.1805,0.6396000000000001,3.789400862995535,102400,102400,144581142920,349514120,0,0
replay,0.7684000000000001,0.27475,-0.27475,-0.026,0.9848000000000001,0.009000000000000008,0.21640000000000004,2.4580331099859904,143360,143360,201924280320,0,628800,0
distillation,0.195,0.994,-0.994,-0.03425,0.8761999999999999,0.14275000000000002,0.6811999999999998,2.194696093996754,102400,184320,182693396480,0,0,0
slowheat_replay,0.7656,0.27174999999999994,-0.27174999999999994,-0.02875,0.982,0.009250000000000008,0.21640000000000004,4.86090050599887,143360,143360,202338347400,414067080,628800,0
