method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1968,0.9927499999999999,-0.9927499999999999,-0.12675,0.7689999999999999,0.27749999999999997,0.5721999999999999,1.6448797869961709,102400,102400,144231628800,0,0,0
slowheat_hidden_beta_30_budget_0.25,0.19319999999999998,0.9930000000000001,-0.9930000000000001,-0.12675,0.8126,0.21875,0.6194,3.315160208963789,102400,102400,144576014720,344385920,0,0
replay,0.7894,0.24974999999999997,-0.24974999999999997,-0.12425,0.9865999999999999,0.0072500000000000064,0.19719999999999993,2.337289731949568,143360,143360,201924280320,0,628800,0
slowheat_replay_hidden_beta_30_budget_0.25,0.7896,0.24749999999999997,-0.24749999999999997,-0.11299999999999999,0.985,0.009500000000000008,0.19540000000000002,4.106833331985399,143360,143360,202331580800,407300480,628800,0
derpp,0.8493999999999999,0.17575,-0.17575,-0.12675,0.9865999999999999,0.010000000000000009,0.1372,2.6582575329812244,143360,143360,201924280320,0,628800,8000
slowheat_derpp_hidden_beta_30_budget_0.25,0.8592000000000001,0.15249999999999997,-0.15249999999999997,-0.12575,0.986,0.005750000000000005,0.1267999999999999,4.206474384991452,143360,143360,202331580800,407300480,628800,8000
er_ace,0.698,0.038500000000000006,0.525,-0.12675,0.9753999999999999,0.023249999999999993,0.2774,2.5472359859850258,143360,143360,201924280320,0,628800,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.7018,0.03475,0.474,-0.12575,0.9798,0.015750000000000014,0.278,4.17257337004412,143360,143360,202331580800,407300480,628800,0
