method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1764,0.85925,-0.85925,0.05225,0.576,0.35975,0.39959999999999996,134.08639031701023,201600,201600,671839322112000,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1833,0.858875,-0.858875,0.0275,0.5825,0.35987500000000006,0.3992,145.34863340700394,201600,201600,672032393625600,193071513600,193071513600,7936,0,7936,0,0,0,0,0.0
slowheat,0.1312,0.805625,-0.805625,0.04975,0.5312,0.305625,0.4,205.97930336100399,201600,201600,671862384943630,23062831630,0,0,82128,82128,0,0,0,0,0.0
dualheat,0.1406,0.8232499999999999,-0.8232499999999999,0.03175,0.5484,0.31349999999999995,0.4078,218.55047054600436,201600,201600,672055456457230,216134345230,193071513600,7936,82128,90064,0,0,0,0,0.0
lpr,0.22200000000000003,0.8347499999999999,-0.8347499999999999,0.05225,0.7938000000000001,0.12137499999999998,0.5718000000000001,200.40394298298634,282240,282680,1044729819647380,103665996696980,0,0,0,0,2459200,0,6400,0,0.013016301032621413
slowheat_lpr,0.23620000000000002,0.784625,-0.784625,0.048625,0.7651,0.126,0.5288999999999999,280.1356563649897,282240,282680,1044755054582100,103691231631700,0,0,81988,81988,2459200,0,6400,0,0.013145734992576763
dualheat_lpr,0.23569999999999997,0.7641249999999999,-0.7641249999999999,0.036875,0.7503,0.12474999999999997,0.5146,290.3891581200005,282240,282680,1045025776087380,103961953136980,270721505280,7936,81988,89924,2459200,0,6400,0,0.012851831037551165
classifier_expander,0.3549,0.3235,-0.266875,0.07175,0.8122,0.06662500000000002,0.45730000000000004,202.91685181701905,282944,363584,1032499732807680,0,0,0,0,0,2459200,0,6400,0,0.013520864013116807
slowheat_classifier_expander,0.3522,0.34062500000000007,-0.29737500000000006,0.108375,0.8261000000000001,0.031125000000000014,0.47390000000000004,283.1305796169909,282944,363584,1032524967742400,25234934720,0,0,81988,81988,2459200,0,6400,0,0.01370263600256294
dualheat_classifier_expander,0.3373,0.20850000000000002,-0.04912500000000001,0.035125,0.7924999999999999,0.06187500000000004,0.4551999999999999,294.2592635190231,282944,363584,1032873170684864,373437877184,348202942464,7936,81988,89924,2459200,0,6400,0,0.013089619023958221
scroll,0.0994,0.461625,-0.461625,0.0,0.5115999999999999,0.085875,0.41219999999999996,47.17310558698955,41088,81088,181382798464645,21728548485,0,0,0,0,2459200,0,6400,0,0.012715581018710509
slowheat_scroll,0.19779999999999998,0.33749999999999997,-0.33749999999999997,0.0,0.6822,0.0069999999999999785,0.48440000000000005,59.281672378012445,41088,81088,181387408025925,26338109765,0,0,81988,81988,2459200,0,6400,0,0.013109496037941426
dualheat_scroll,0.1762,0.435,-0.435,0.0,0.6734,0.004250000000000004,0.4972,61.63198969999212,41088,81088,181465065679173,103995763013,77657653248,7936,81988,89924,2459200,0,6400,0,0.01359220704762265
