method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1693,0.8471249999999999,-0.8471249999999999,-0.104,0.6298999999999999,0.271375,0.4605999999999999,7.890462806972209,201600,201600,6780882124800,0,0,0,0,0,0.0
slowheat_none,0.1726,0.8445,-0.8445,-0.10437499999999998,0.6146,0.292,0.44200000000000006,12.900020742003107,201600,201600,6781002193350,120068550,0,0,0,0,0.0
slowheat_unidirectional,0.1683,0.8217500000000001,-0.8217500000000001,-0.10325,0.5700999999999999,0.3195,0.40179999999999993,12.42301522102207,201600,201600,6781002196270,120071470,0,0,0,0,0.0
slowheat,0.158,0.7943749999999999,-0.7943749999999999,-0.10512499999999998,0.5578000000000001,0.294625,0.39980000000000004,12.946742000989616,201600,201600,6781002196270,120071470,0,0,0,0,0.0
hard_freeze,0.1488,0.789875,-0.789875,-0.10375,0.5589000000000001,0.27725,0.4101000000000001,12.682562292000512,201600,201600,6781002196270,120071470,0,0,0,0,0.0
lpr,0.3593,0.627,-0.627,0.03137500000000001,0.8151000000000002,0.075875,0.45580000000000015,11.262139219004894,282240,286520,9558831581462,17610205462,2459200,0,6400,0,0.012794351059710607
slowheat_lpr,0.3681,0.57975,-0.57975,0.06525,0.8049000000000002,0.071625,0.4368000000000002,15.066690641018795,282240,286520,9558970506742,17749130742,2459200,0,6400,0,0.012794581009075046
classifier_expander,0.3397,0.21712499999999998,-0.139875,-0.00462499999999999,0.7995,0.060124999999999984,0.4598,11.910964377981145,282944,363584,10421031862272,0,2459200,0,6400,0,0.012545381032396108
slowheat_classifier_expander,0.3162,0.23124999999999998,-0.05249999999999999,-0.03199999999999999,0.7726,0.06587500000000002,0.4564,15.801330660993699,282944,363584,10421170787552,138925280,2459200,0,6400,0,0.013075683964416385
scroll,0.3066,0.259125,-0.234875,-0.183875,0.7196999999999999,0.028749999999999998,0.4130999999999999,2.792208673985442,41088,81088,1835848189829,5368792965,2459200,0,6400,0,0.012874863983597606
slowheat_scroll,0.3477,0.26749999999999996,-0.26025,-0.183875,0.7454,0.069,0.39769999999999994,3.5255559460201766,41088,81088,1835869783909,5390387045,2459200,0,6400,0,0.013278716971399263
