method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1669,0.84225,-0.84225,-0.125125,0.5714,0.336625,0.4045,127.11843717499869,201600,201600,671839322112000,0,0,0,0,0,0.0
slowheat_none,0.1785,0.84975,-0.84975,-0.125125,0.5553,0.37875000000000003,0.3768,173.00463679799577,201600,201600,671862384663750,23062551750,0,0,0,0,0.0
slowheat_unidirectional,0.16870000000000002,0.8385,-0.8385,-0.125125,0.5567,0.3535,0.38799999999999996,154.50679301001946,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
slowheat,0.1457,0.7928749999999999,-0.7928749999999999,-0.125125,0.5457,0.292875,0.39999999999999997,185.94255945199984,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
hard_freeze,0.1479,0.734,-0.734,-0.125125,0.5479,0.23399999999999999,0.4,183.91539388798992,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
lpr,0.2657,0.748625,-0.748625,-0.125125,0.7987,0.08437500000000003,0.5329999999999999,192.6798729489965,282240,282680,1044729819647380,103665996696980,2459200,0,6400,0,0.012912355974549428
slowheat_lpr,0.2352,0.7635000000000001,-0.7635000000000001,-0.125125,0.7598,0.11099999999999999,0.5246000000000001,252.07916870899498,282240,282680,1044755054582100,103691231631700,2459200,0,6400,0,0.012957904022186995
classifier_expander,0.362,0.342125,-0.268,-0.10424999999999998,0.8234,0.04949999999999999,0.46140000000000003,197.00548848402104,282944,363584,1032499732807680,0,2459200,0,6400,0,0.013666665996424854
slowheat_classifier_expander,0.3576,0.31875000000000003,-0.24012500000000003,-0.0785,0.8320000000000001,0.034749999999999975,0.4744000000000001,256.69482876799884,282944,363584,1032524967742400,25234934720,2459200,0,6400,0,0.013323319057235494
scroll,0.10129999999999999,0.298125,-0.17149999999999999,-0.125125,0.5,0.04774999999999999,0.3987,39.78822228702484,41088,81088,181382798464645,21728548485,2459200,0,6400,0,0.012866433011367917
slowheat_scroll,0.24820000000000003,0.115375,-0.10237500000000001,-0.125125,0.6851,0.0,0.4369,49.33320389298024,41088,81088,181387408025925,26338109765,2459200,0,6400,0,0.013835004006978124
