method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1823,0.880375,-0.880375,-0.059625,0.5823,0.380375,0.4,134.13647289201617,201600,201600,671839322112000,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1,0.86275,-0.86275,-0.06925,0.5,0.36275,0.4,145.9197017190163,201600,201600,672032393625600,193071513600,193071513600,7936,0,7936,0,0,0,0,0.0
slowheat,0.1183,0.839375,-0.839375,-0.069375,0.5183,0.33937500000000004,0.39999999999999997,206.10825697900145,201600,201600,671862384943630,23062831630,0,0,82128,82128,0,0,0,0,0.0
dualheat,0.1282,0.81275,-0.81275,-0.07475,0.5282,0.31275000000000003,0.4,218.11229965899838,201600,201600,672055456457230,216134345230,193071513600,7936,82128,90064,0,0,0,0,0.0
lpr,0.2467,0.8140000000000001,-0.8140000000000001,-0.05925000000000001,0.8313,0.08499999999999999,0.5846,200.16723704201286,282240,282680,1044729819647380,103665996696980,0,0,0,0,2459200,0,6400,0,0.013112182001350448
slowheat_lpr,0.2716,0.771875,-0.771875,-0.05912500000000001,0.7956000000000001,0.11925,0.524,279.72037828998873,282240,282680,1044755054582100,103691231631700,0,0,81988,81988,2459200,0,6400,0,0.012775996961863711
dualheat_lpr,0.2464,0.7745,-0.7745,-0.07075000000000001,0.7936,0.095,0.5471999999999999,286.7770001149911,282240,282680,1045025776087380,103961953136980,270721505280,7936,81988,89924,2459200,0,6400,0,0.013889289024518803
classifier_expander,0.395,0.35,-0.336125,-0.056249999999999994,0.8432000000000001,0.050000000000000044,0.44820000000000004,202.81730414298363,282944,363584,1032499732807680,0,0,0,0,0,2459200,0,6400,0,0.012880942929768935
slowheat_classifier_expander,0.3919,0.34049999999999997,-0.333875,-0.05812500000000001,0.8551,0.030874999999999986,0.46319999999999995,282.5279364110029,282944,363584,1032524967742400,25234934720,0,0,81988,81988,2459200,0,6400,0,0.013074469985440373
dualheat_classifier_expander,0.3653,0.20224999999999999,-0.038749999999999986,-0.072375,0.8247,0.032375000000000015,0.4594,293.7188838979928,282944,363584,1032873170684864,373437877184,348202942464,7936,81988,89924,2459200,0,6400,0,0.013109477004036307
scroll,0.1486,0.43237500000000006,-0.43237500000000006,-0.129875,0.5032,0.10275000000000001,0.35459999999999997,47.11582015798194,41088,81088,181382798464645,21728548485,0,0,0,0,2459200,0,6400,0,0.01309849604149349
slowheat_scroll,0.27979999999999994,0.26375000000000004,-0.153125,-0.129875,0.7002999999999999,0.011249999999999982,0.4205,59.151842268998735,41088,81088,181387408025925,26338109765,0,0,81988,81988,2459200,0,6400,0,0.013043301994912326
dualheat_scroll,0.2415,0.23349999999999999,-0.16149999999999998,-0.129875,0.6859,0.02200000000000002,0.44439999999999996,61.69288315199083,41088,81088,181465065679173,103995763013,77657653248,7936,81988,89924,2459200,0,6400,0,0.01297071497538127
