method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1776,0.8574999999999999,-0.8574999999999999,-0.082375,0.6481,0.269375,0.47050000000000003,7.973350307000146,201600,201600,6780882124800,0,0,0
slowheat_none,0.17709999999999998,0.8594999999999999,-0.8594999999999999,-0.08437499999999999,0.6123999999999999,0.31537499999999996,0.43529999999999996,12.89668843400068,201600,201600,6781002193350,120068550,0,0
slowheat_unidirectional,0.1704,0.8302499999999999,-0.8302499999999999,-0.08424999999999999,0.5843,0.312875,0.41390000000000005,12.43975060000048,201600,201600,6781002196270,120071470,0,0
slowheat,0.1557,0.7807499999999999,-0.7807499999999999,-0.0865,0.5689,0.26425,0.41319999999999996,12.991239045999464,201600,201600,6781002196270,120071470,0,0
hard_freeze,0.1557,0.782125,-0.782125,-0.0895,0.5848000000000001,0.24575000000000002,0.4291000000000001,12.761986984000032,201600,201600,6781002196270,120071470,0,0
lpr,0.3505,0.6352499999999999,-0.6352499999999999,0.093375,0.8306000000000001,0.04999999999999999,0.48010000000000014,11.101466830999925,282240,286520,9558831581462,17610205462,2459200,0
slowheat_lpr,0.3588,0.594,-0.594,0.1035,0.8192999999999999,0.04837500000000003,0.4604999999999999,14.912157736000154,282240,286520,9558970506742,17749130742,2459200,0
classifier_expander,0.35660000000000003,0.2985,-0.17287500000000003,0.04637500000000001,0.8146000000000001,0.04074999999999995,0.4580000000000001,11.726768702999834,282944,363584,10421031862272,0,2459200,0
slowheat_classifier_expander,0.3281,0.27237500000000003,-0.12387499999999999,0.04175000000000001,0.7941,0.04937500000000003,0.466,15.1706760699999,282944,363584,10421170787552,138925280,2459200,0
scroll,0.3112,0.1905,-0.045250000000000005,-0.126875,0.7107000000000001,0.05399999999999999,0.39950000000000013,2.6092762719999882,41088,81088,1835848189829,5368792965,2459200,0
slowheat_scroll,0.3795,0.269625,-0.232375,-0.126875,0.7439,0.036250000000000004,0.3644,3.311362468999505,41088,81088,1835869783909,5390387045,2459200,0
