method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1832,0.878875,-0.878875,-0.05925000000000001,0.5739,0.39050000000000007,0.39069999999999994,127.4040625730122,201600,201600,671839322112000,0,0,0,0,0,0.0
slowheat_none,0.17880000000000001,0.8612500000000001,-0.8612500000000001,-0.05925000000000001,0.5783,0.361875,0.3995,173.2133558689966,201600,201600,671862384663750,23062551750,0,0,0,0,0.0
slowheat_unidirectional,0.1764,0.837,-0.837,-0.06075,0.5764,0.33699999999999997,0.4,154.49261572700925,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
slowheat,0.1391,0.836,-0.836,-0.05950000000000001,0.5391,0.3360000000000001,0.4,185.84673218498938,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
hard_freeze,0.14479999999999998,0.816375,-0.816375,-0.06125,0.5429999999999999,0.31862500000000005,0.39819999999999994,183.14068572199903,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
lpr,0.2807,0.773625,-0.773625,-0.06225,0.8202,0.10074999999999998,0.5395000000000001,192.78897539601894,282240,282680,1044729819647380,103665996696980,2459200,0,6400,0,0.013017484976444393
slowheat_lpr,0.26639999999999997,0.778375,-0.778375,-0.06025,0.7817999999999999,0.136,0.5154,251.59699551199446,282240,282680,1044755054582100,103691231631700,2459200,0,6400,0,0.012784964957972988
classifier_expander,0.4032,0.32637499999999997,-0.290625,-0.06825,0.8282999999999999,0.07075000000000004,0.4250999999999999,196.96406293998007,282944,363584,1032499732807680,0,2459200,0,6400,0,0.013879373000236228
slowheat_classifier_expander,0.3889,0.35225,-0.35225,-0.058625,0.8561,0.033875000000000016,0.46719999999999995,256.5710318549827,282944,363584,1032524967742400,25234934720,2459200,0,6400,0,0.013089616986690089
scroll,0.13169999999999998,0.381375,-0.381375,-0.129875,0.5158,0.11562500000000002,0.38410000000000005,39.88461509402259,41088,81088,181382798464645,21728548485,2459200,0,6400,0,0.012834434019168839
slowheat_scroll,0.27199999999999996,0.19887500000000002,-0.136,-0.129875,0.7091999999999998,0.005624999999999991,0.43719999999999987,49.42305168200983,41088,81088,181387408025925,26338109765,2459200,0,6400,0,0.01271507897763513
