method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1872,0.899625,-0.899625,-0.123,0.5481,0.4485,0.3609,36.45336415199563,201600,201600,184790030745600,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1863,0.89525,-0.89525,-0.12275,0.6123,0.36274999999999996,0.42599999999999993,43.39795155700995,201600,201600,184888347033600,98316288000,98316288000,11008,0,11008,0,0,0,0,0.0
slowheat,0.1765,0.89125,-0.89125,-0.123,0.5765,0.39125,0.4,60.277033637976274,201600,201600,184806788477390,16757731790,0,0,33324,33324,0,0,0,0,0.0
dualheat,0.179,0.85375,-0.85375,-0.122125,0.579,0.35375,0.39999999999999997,67.20099384599598,201600,201600,184905104765390,115074019790,98316288000,11008,33324,44332,0,0,0,0,0.0
lpr,0.24430000000000002,0.8272499999999999,-0.8272499999999999,-0.122875,0.7882,0.14787499999999998,0.5439,67.487351105985,282240,282680,353954071976920,95113591741400,0,0,0,0,2459200,0,6400,0,0.012949677009601146
slowheat_lpr,0.28500000000000003,0.77125,-0.77125,-0.12425,0.8074999999999999,0.12012499999999998,0.5224999999999999,92.13012792501831,282240,282680,353971701249880,95131221014360,0,0,33184,33184,2459200,0,6400,0,0.012648550007725134
dualheat_lpr,0.2824,0.757125,-0.757125,-0.123375,0.8039999999999999,0.10787500000000003,0.5216,97.58765018300619,282240,282680,354109558632280,95269078396760,137857382400,11008,33184,44192,2459200,0,6400,0,0.01288720197044313
classifier_expander,0.3995,0.387125,-0.36774999999999997,-0.123625,0.835,0.10037499999999996,0.43549999999999994,56.184731248009484,282944,363584,283990012329984,0,0,0,0,0,2459200,0,6400,0,0.012738153018290177
slowheat_classifier_expander,0.43260000000000004,0.290375,-0.05574999999999999,-0.12275,0.8607000000000001,0.050124999999999975,0.4281000000000001,81.37012602802133,282944,363584,284007641602944,17629272960,0,0,33184,33184,2459200,0,6400,0,0.012617369007784873
dualheat_classifier_expander,0.41689999999999994,0.241625,0.129,-0.123,0.8583999999999999,0.057249999999999995,0.4415,86.72048910698504,282944,363584,284184954248064,194941918080,177312645120,11008,33184,44192,2459200,0,6400,0,0.012659758009249344
scroll,0.1927,0.315875,-0.28275,-0.125,0.5961,0.05462499999999995,0.4034,12.154138737998437,41088,81088,49905259599493,21728548485,0,0,0,0,2459200,0,6400,0,0.012584683980094269
slowheat_scroll,0.26870000000000005,0.030500000000000013,0.017374999999999998,-0.125,0.722,0.012500000000000011,0.4532999999999999,15.74515182399773,41088,81088,49908608012293,25076961285,0,0,33184,33184,2459200,0,6400,0,0.012812175031285733
dualheat_scroll,0.263,0.07762500000000001,-0.015500000000000014,-0.125,0.7065,0.016999999999999987,0.4435,16.88609059000737,41088,81088,49948153008133,64621957125,39544995840,11008,33184,44192,2459200,0,6400,0,0.012954344972968102
