method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1729,0.82975,-0.82975,-0.0325,0.5529999999999999,0.3546250000000001,0.38009999999999994,38.193031859002076,403200,403200,8890889011200,0,0,0
slowheat,0.1678,0.8296250000000001,-0.8296250000000001,-0.03474999999999999,0.5694,0.327625,0.4016,88.32502753002336,403200,403200,8904964022740,14075011540,0,0
slowheat_replay,0.20859999999999998,0.783625,-0.783625,-0.032499999999999994,0.7569,0.09999999999999998,0.5483,99.3133262610063,564480,564480,12462316982740,15072367060,2459200,0
slowheat_distillation,0.1685,0.8308749999999999,-0.8308749999999999,-0.03474999999999999,0.6357000000000002,0.24687499999999998,0.46720000000000017,94.74724112197873,403200,725760,11275867759060,14075011540,0,0
derpp,0.2238,0.763625,-0.763625,-0.0325,0.7084,0.15900000000000003,0.48460000000000003,51.96338744999957,564480,564480,12447244615680,0,2459200,8000
slowheat_derpp_hidden_beta_30_budget_0.25,0.2144,0.772125,-0.772125,-0.040749999999999995,0.7101,0.15412499999999996,0.4956999999999999,95.77720608800882,564480,564480,12462278243840,15033628160,2459200,8000
er_ace,0.27019999999999994,0.248,0.02499999999999998,-0.014749999999999996,0.7497,0.09675000000000003,0.4795000000000001,51.42910368400044,564480,564480,12447244615680,0,2459200,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.3109,0.235125,0.072375,-0.02875,0.7852,0.0635,0.4743,100.4455640350061,564480,564480,12462278243840,15033628160,2459200,0
agem,0.1824,0.81425,-0.81425,-0.0325,0.6581,0.220875,0.4757,59.162004251993494,564480,564480,12447244615680,0,2459200,0
ewc,0.173,0.82625,-0.82625,-0.0325,0.6026,0.28925,0.42960000000000004,60.12976868599071,403200,403200,8927968349170,37079337970,0,0
si,0.173,0.8200000000000001,-0.8200000000000001,-0.0325,0.6297,0.249125,0.45670000000000005,74.07175924201147,403200,403200,8962768144300,71879133100,0,0
lwf_calibrated,0.1751,0.827375,-0.827375,-0.0325,0.7067,0.162875,0.5316,45.59858476600493,403200,725760,11261792747520,0,0,0
replay_balanced,0.1996,0.77775,-0.77775,-0.0325,0.7310000000000001,0.11500000000000002,0.5314000000000001,50.54074008500902,564480,564480,12447244615680,0,2459200,0
replay_more_epochs,0.2071,0.7769999999999999,-0.7769999999999999,-0.03462499999999999,0.6875,0.17937499999999998,0.4804,100.61144727200735,1128960,1128960,24894489231360,0,2459200,0
slowheat_replay_hidden_beta_30_budget_0.25,0.2,0.7889999999999999,-0.7889999999999999,-0.040624999999999994,0.7205999999999999,0.13987499999999997,0.5206,99.7145951029961,564480,564480,12462278243840,15033628160,2459200,0
slowheat_hidden_beta_30_budget_0.25,0.1721,0.8307499999999999,-0.8307499999999999,-0.040749999999999995,0.5721,0.33075,0.4,87.00826559899724,403200,403200,8904931735040,14042723840,0,0
slowheat_replay_hidden_adaptive_beta_30_budget_0.25,0.2091,0.7795000000000001,-0.7795000000000001,-0.040749999999999995,0.7337999999999999,0.126625,0.5246999999999999,99.0738354389905,564480,564480,12462278243840,15033628160,2459200,0
slowheat_replay_partial_output_beta_30_budget_0.25,0.20929999999999999,0.78425,-0.78425,-0.03424999999999999,0.7283,0.137625,0.5189999999999999,99.94730662199436,564480,564480,12462316982740,15072367060,2459200,0
slowheat_replay_hidden_beta_30_budget_0.25_calibrated,0.2202,0.760625,-0.760625,-0.040624999999999994,0.7205999999999999,0.13987499999999997,0.5004,100.65195277301245,564480,564480,12462278243840,15033628160,2459200,0
