method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1757,0.819125,-0.819125,-0.108875,0.5761,0.318625,0.4004,134.23923258000286,201600,201600,671839322112000,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1742,0.849125,-0.849125,-0.108875,0.5709,0.35325,0.39669999999999994,145.595824516,201600,201600,672032393625600,193071513600,193071513600,7936,0,7936,0,0,0,0,0.0
slowheat,0.13340000000000002,0.7876250000000001,-0.7876250000000001,-0.108875,0.5334,0.287625,0.39999999999999997,204.44391517099575,201600,201600,671862384943630,23062831630,0,0,82128,82128,0,0,0,0,0.0
dualheat,0.13,0.78825,-0.78825,-0.10875,0.53,0.28825,0.4,216.08979444301804,201600,201600,672055456457230,216134345230,193071513600,7936,82128,90064,0,0,0,0,0.0
lpr,0.2445,0.78925,-0.78925,-0.108875,0.7787,0.123,0.5342,200.17429142200854,282240,282680,1044729819647380,103665996696980,0,0,0,0,2459200,0,6400,0,0.013238093932159245
slowheat_lpr,0.23500000000000001,0.75725,-0.75725,-0.108875,0.7466000000000002,0.12287499999999998,0.5116000000000002,280.1066343029961,282240,282680,1044755054582100,103691231631700,0,0,81988,81988,2459200,0,6400,0,0.01344001101097092
dualheat_lpr,0.2432,0.752125,-0.752125,-0.108875,0.7447,0.12987500000000005,0.5015000000000001,289.70103783300146,282240,282680,1045025776087380,103961953136980,270721505280,7936,81988,89924,2459200,0,6400,0,0.013135382992913947
classifier_expander,0.38849999999999996,0.3185,-0.2615,-0.108875,0.8103,0.07687499999999997,0.42180000000000006,202.8691967719933,282944,363584,1032499732807680,0,0,0,0,0,2459200,0,6400,0,0.012844672019127756
slowheat_classifier_expander,0.33920000000000006,0.31,-0.255125,-0.108625,0.8177,0.04425000000000001,0.4784999999999999,279.0629573970218,282944,363584,1032524967742400,25234934720,0,0,81988,81988,2459200,0,6400,0,0.013459014007821679
dualheat_classifier_expander,0.3532,0.16912500000000003,0.02024999999999999,-0.108875,0.8021,0.03974999999999998,0.4489,293.89389516200754,282944,363584,1032873170684864,373437877184,348202942464,7936,81988,89924,2459200,0,6400,0,0.01353932498022914
scroll,0.148,0.340375,-0.10350000000000001,-0.108875,0.5146,0.053375000000000006,0.3665999999999999,47.19125422401703,41088,81088,181382798464645,21728548485,0,0,0,0,2459200,0,6400,0,0.013409086968749762
slowheat_scroll,0.2028,0.22699999999999998,-0.196625,-0.108875,0.6811999999999999,0.011499999999999982,0.47839999999999994,59.12003048098995,41088,81088,181387408025925,26338109765,0,0,81988,81988,2459200,0,6400,0,0.013427380996290594
dualheat_scroll,0.2434,0.25887499999999997,-0.21050000000000002,-0.108875,0.6712,0.016750000000000015,0.4278,61.41906208198634,41088,81088,181465065679173,103995763013,77657653248,7936,81988,89924,2459200,0,6400,0,0.013167816068744287
