method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1695,0.8280000000000001,-0.8280000000000001,-0.152875,0.5884,0.30437500000000006,0.41890000000000005,10.29711041902192,403200,403200,8890889011200,0,0,0
slowheat_hidden_beta_30_budget_0.25,0.17170000000000002,0.82575,-0.82575,-0.15637500000000001,0.5468999999999999,0.35675,0.3751999999999999,19.38484142901143,403200,403200,8904931735040,14042723840,0,0
replay,0.20590000000000003,0.7781250000000001,-0.7781250000000001,-0.15487499999999998,0.7372,0.116125,0.5312999999999999,14.348122733994387,564480,564480,12447244615680,0,2459200,0
slowheat_replay_hidden_beta_30_budget_0.25,0.20379999999999998,0.7882499999999999,-0.7882499999999999,-0.155875,0.7112,0.15525,0.5074000000000001,23.448908619990107,564480,564480,12462278243840,15033628160,2459200,0
derpp,0.21550000000000002,0.7729999999999999,-0.7729999999999999,-0.156125,0.6852,0.18675,0.4697,14.827076203015167,564480,564480,12447244615680,0,2459200,8000
slowheat_derpp_hidden_beta_30_budget_0.25,0.20249999999999999,0.789375,-0.789375,-0.15637500000000001,0.7001,0.168875,0.49759999999999993,24.215029317012522,564480,564480,12462278243840,15033628160,2459200,8000
er_ace,0.2425,0.260625,0.03425,-0.15274999999999997,0.7503,0.10387500000000002,0.5078,14.75262710195966,564480,564480,12447244615680,0,2459200,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.3078,0.217625,0.08037500000000003,-0.15012499999999998,0.7844,0.061874999999999986,0.47659999999999997,23.909715991001576,564480,564480,12462278243840,15033628160,2459200,0
