method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
slowheat,0.17880000000000001,0.889875,-0.889875,-0.12325,0.5835,0.384,0.4047,60.086608798010275,201600,201600,184806788477390,16757731790,0,0,33324,33324,0,0,0,0,0.0
dualheat,0.1766,0.85225,-0.85225,-0.122125,0.6014,0.32125000000000004,0.42480000000000007,66.9663883850153,201600,201600,184905104765390,115074019790,98316288000,11008,33324,44332,0,0,0,0,0.0
