method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1862,0.8915,-0.8915,0.0,0.5269,0.465625,0.3407,56.21536435501184,201600,201600,184790030745600,0,0,0,0,0,0.0
slowheat_none,0.18660000000000002,0.898375,-0.898375,0.0,0.5696,0.41962499999999997,0.383,91.88146018001135,201600,201600,184806788358150,16757612550,0,0,0,0,0.0
slowheat_unidirectional,0.1843,0.8967499999999999,-0.8967499999999999,0.0,0.5841000000000001,0.397,0.39980000000000004,98.88649634300964,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
slowheat,0.17880000000000001,0.8915,-0.8915,0.0,0.5407,0.439125,0.36189999999999994,101.5701670240087,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
hard_freeze,0.149,0.757125,-0.757125,0.0,0.5988,0.196125,0.4498,100.6976014339889,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
lpr,0.227,0.84875,-0.84875,0.0,0.763,0.17974999999999997,0.536,99.14790050298325,282240,282680,353954071976920,95113591741400,2459200,0,6400,0,0.013229468051576987
slowheat_lpr,0.26070000000000004,0.7999999999999999,-0.7999999999999999,0.0,0.7651,0.17024999999999998,0.5044,138.14683904798585,282240,282680,353971701249880,95131221014360,2459200,0,6400,0,0.013224481022916734
classifier_expander,0.39930000000000004,0.37912499999999993,-0.31437499999999996,0.000125,0.8177,0.10249999999999998,0.41839999999999994,82.11896375700599,282944,363584,283990012329984,0,2459200,0,6400,0,0.012705639994237572
slowheat_classifier_expander,0.43550000000000005,0.28862499999999996,-0.13774999999999998,0.0,0.8465,0.06612499999999996,0.411,121.0249514800089,282944,363584,284007641602944,17629272960,2459200,0,6400,0,0.012995930010220036
scroll,0.1666,0.314125,-0.205,0.0,0.5766,0.13000000000000003,0.41000000000000003,17.944345127994893,41088,81088,49905259599493,21728548485,2459200,0,6400,0,0.012897722015623003
slowheat_scroll,0.2534,0.073,-0.06675,0.0,0.6980000000000001,0.00949999999999998,0.44460000000000005,24.084420277999016,41088,81088,49908608012293,25076961285,2459200,0,6400,0,0.013104573008604348
