method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
slowheat,0.1786,0.872125,-0.872125,-0.246375,0.5812999999999999,0.36875,0.40269999999999995,60.58918153200648,201600,201600,184806788477390,16757731790,0,0,33324,33324,0,0,0,0,0.0
dualheat,0.1647,0.823875,-0.823875,-0.24812499999999998,0.5672,0.32075,0.4025,67.26257213400095,201600,201600,184905104765390,115074019790,98316288000,11008,33324,44332,0,0,0,0,0.0
