method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1787,0.843,-0.843,-0.125125,0.6045,0.31074999999999997,0.42580000000000007,134.21537997198175,201600,201600,671839322112000,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1706,0.8495,-0.8495,-0.125125,0.5706,0.34950000000000003,0.4,145.55319394200342,201600,201600,672032393625600,193071513600,193071513600,7936,0,7936,0,0,0,0,0.0
slowheat,0.1233,0.8296250000000001,-0.8296250000000001,-0.125125,0.5233000000000001,0.329625,0.4000000000000001,206.4153341370111,201600,201600,671862384943630,23062831630,0,0,82128,82128,0,0,0,0,0.0
dualheat,0.1278,0.798,-0.798,-0.125125,0.5378000000000001,0.2855,0.41000000000000003,217.7091744460049,201600,201600,672055456457230,216134345230,193071513600,7936,82128,90064,0,0,0,0,0.0
lpr,0.2621,0.755625,-0.755625,-0.125125,0.7947,0.09437500000000001,0.5326,200.43468895799015,282240,282680,1044729819647380,103665996696980,0,0,0,0,2459200,0,6400,0,0.013189895020332187
slowheat_lpr,0.2492,0.742375,-0.742375,-0.125125,0.7679,0.09674999999999997,0.5187,279.99263729099766,282240,282680,1044755054582100,103691231631700,0,0,81988,81988,2459200,0,6400,0,0.013257340004201978
dualheat_lpr,0.244,0.757375,-0.757375,-0.12462499999999999,0.7741,0.101875,0.5301,290.31011786399176,282240,282680,1045025776087380,103961953136980,270721505280,7936,81988,89924,2459200,0,6400,0,0.013451720995362848
classifier_expander,0.3421,0.393625,-0.308875,-0.10487499999999998,0.8173,0.06262500000000001,0.4752,202.66679985899827,282944,363584,1032499732807680,0,0,0,0,0,2459200,0,6400,0,0.01245105394627899
slowheat_classifier_expander,0.35259999999999997,0.30537499999999995,-0.22912500000000002,-0.08975,0.8215999999999999,0.04087499999999997,0.4689999999999999,282.85382522901637,282944,363584,1032524967742400,25234934720,0,0,81988,81988,2459200,0,6400,0,0.013758890971075743
dualheat_classifier_expander,0.34130000000000005,0.18975,-0.0048749999999999905,-0.12474999999999999,0.8066999999999999,0.062,0.4653999999999998,293.9607941819995,282944,363584,1032873170684864,373437877184,348202942464,7936,81988,89924,2459200,0,6400,0,0.01329484093002975
scroll,0.1463,0.369375,-0.369375,-0.125125,0.5,0.07225000000000001,0.3537,47.11631400100305,41088,81088,181382798464645,21728548485,0,0,0,0,2459200,0,6400,0,0.01474230398889631
slowheat_scroll,0.2113,0.354375,-0.34925,-0.125125,0.6767,0.014250000000000013,0.4654,59.24829503099318,41088,81088,181387408025925,26338109765,0,0,81988,81988,2459200,0,6400,0,0.014163900981657207
dualheat_scroll,0.2266,0.37337500000000007,-0.37337500000000007,-0.125125,0.6813,0.0012500000000000011,0.4547,61.81142096599797,41088,81088,181465065679173,103995763013,77657653248,7936,81988,89924,2459200,0,6400,0,0.013642414967762306
