method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
replay,0.42110000000000003,0.4975,-0.4975,-0.016125,0.8397,0.011499999999999982,0.41859999999999997,11.73558766899805,282240,322240,9942320414720,614400000,2459200,0,6400,40000,0.49228241699165665
slowheat_replay_hidden_beta_30_budget_0.25,0.3871,0.502,-0.502,-0.046374999999999986,0.8150999999999999,0.014374999999999999,0.42799999999999994,15.530676353002491,282240,322240,9942459340000,753325280,2459200,0,6400,40000,0.4938017270033015
