method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.17350000000000002,0.847875,-0.847875,-0.116375,0.5735,0.347875,0.4,134.2012399469968,201600,201600,671839322112000,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1557,0.839,-0.839,-0.119,0.5556,0.33912499999999995,0.3999,145.39948863300378,201600,201600,672032393625600,193071513600,193071513600,7936,0,7936,0,0,0,0,0.0
slowheat,0.1328,0.8165,-0.8165,-0.115875,0.5328,0.3165,0.4,206.16778727897326,201600,201600,671862384943630,23062831630,0,0,82128,82128,0,0,0,0,0.0
dualheat,0.1336,0.813375,-0.813375,-0.119375,0.5336000000000001,0.31337499999999996,0.4000000000000001,217.14473167600227,201600,201600,672055456457230,216134345230,193071513600,7936,82128,90064,0,0,0,0,0.0
lpr,0.25630000000000003,0.7785,-0.7785,-0.11525,0.7597,0.15162499999999995,0.5034000000000001,194.37530485299067,282240,282680,1044729819647380,103665996696980,0,0,0,0,2459200,0,6400,0,0.01319160294951871
slowheat_lpr,0.24500000000000002,0.7732500000000001,-0.7732500000000001,-0.1155,0.7551,0.13962500000000003,0.5101,280.2220536850218,282240,282680,1044755054582100,103691231631700,0,0,81988,81988,2459200,0,6400,0,0.013788459036732092
dualheat_lpr,0.22139999999999999,0.7771250000000001,-0.7771250000000001,-0.120125,0.6942999999999999,0.18825,0.47289999999999993,290.0991972220072,282240,282680,1045025776087380,103961953136980,270721505280,7936,81988,89924,2459200,0,6400,0,0.013645339029608294
classifier_expander,0.38839999999999997,0.254625,-0.189625,-0.11387499999999999,0.8133000000000001,0.06837499999999999,0.42490000000000017,202.82055295599275,282944,363584,1032499732807680,0,0,0,0,0,2459200,0,6400,0,0.012919697997858748
slowheat_classifier_expander,0.37760000000000005,0.33424999999999994,-0.299125,-0.104125,0.8311999999999999,0.03962500000000002,0.4535999999999999,282.7879799029906,282944,363584,1032524967742400,25234934720,0,0,81988,81988,2459200,0,6400,0,0.013635960989631712
dualheat_classifier_expander,0.3472,0.229625,-0.05025000000000002,-0.12225,0.7896,0.06287500000000001,0.44239999999999996,294.4912883180077,282944,363584,1032873170684864,373437877184,348202942464,7936,81988,89924,2459200,0,6400,0,0.01355523697566241
scroll,0.1,0.5425,-0.5425,-0.125,0.5,0.04250000000000001,0.4,47.03396631698706,41088,81088,181382798464645,21728548485,0,0,0,0,2459200,0,6400,0,0.012955205020261928
slowheat_scroll,0.2287,0.23725000000000002,-0.13725,-0.125,0.6664000000000001,0.003250000000000003,0.4377000000000001,59.25412427500123,41088,81088,181387408025925,26338109765,0,0,81988,81988,2459200,0,6400,0,0.012950156000442803
dualheat_scroll,0.2156,0.228875,-0.223,-0.125,0.6685000000000001,0.01849999999999999,0.4529000000000001,61.55614217600669,41088,81088,181465065679173,103995763013,77657653248,7936,81988,89924,2459200,0,6400,0,0.015625367988832295
