method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1879,0.89825,-0.89825,-0.125,0.526,0.47562499999999996,0.3381,65.21435377700254,201600,201600,184790030745600,0,0,0,0,0,0.0
slowheat_none,0.1872,0.8935,-0.8935,-0.125,0.6045,0.371875,0.4173,231.94637916897773,201600,201600,184806788358150,16757612550,0,0,0,0,0.0
slowheat_unidirectional,0.1807,0.891,-0.891,-0.125,0.5769,0.39575000000000005,0.3962,236.43049275898375,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
slowheat,0.1825,0.8903749999999999,-0.8903749999999999,-0.125,0.5396,0.444,0.3571,291.25220425700536,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
hard_freeze,0.1447,0.7965,-0.7965,-0.125,0.6336999999999999,0.18525,0.48899999999999993,296.38777269399725,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
lpr,0.22749999999999998,0.8516250000000001,-0.8516250000000001,-0.124875,0.7909,0.14800000000000002,0.5634000000000001,116.0880847160006,282240,282680,353954071976920,95113591741400,2459200,0,6400,0,0.012896236003143713
slowheat_lpr,0.2735,0.789125,-0.789125,-0.125,0.8084,0.12225,0.5348999999999999,274.27199099000427,282240,282680,353971701249880,95131221014360,2459200,0,6400,0,0.01349379398743622
classifier_expander,0.42300000000000004,0.35974999999999996,-0.33225,-0.125,0.8521000000000001,0.07287499999999994,0.42910000000000004,99.22380832399358,282944,363584,283990012329984,0,2459200,0,6400,0,0.013063927937764674
slowheat_classifier_expander,0.45779999999999993,0.308875,-0.09024999999999997,-0.125,0.8704000000000001,0.046999999999999986,0.41260000000000013,259.2501893269946,282944,363584,284007641602944,17629272960,2459200,0,6400,0,0.01423285697819665
scroll,0.0947,0.36274999999999996,-0.28574999999999995,-0.125,0.5315,0.088625,0.43679999999999997,21.204552589013474,41088,81088,49905259599493,21728548485,2459200,0,6400,0,0.012874859006842598
slowheat_scroll,0.25460000000000005,0.085625,-0.009500000000000001,-0.125,0.6795,0.027999999999999997,0.42489999999999994,51.67592775501544,41088,81088,49908608012293,25076961285,2459200,0,6400,0,0.012970990996109322
