method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.72796,0.2925,-0.2925,0.02015,0.72796,0.2925,0.0,7.645094046019949,505600,505600,1623097344000,0,0,0
slowheat_hidden_beta_30_budget_0.25,0.77228,0.23329999999999998,-0.23329999999999998,0.005249999999999998,0.77228,0.23329999999999998,0.0,16.5554575289716,505600,505600,1626756910080,3659566080,0,0
replay,0.9379200000000001,0.030699999999999977,-0.030699999999999977,0.020999999999999998,0.9379200000000001,0.030699999999999977,0.0,11.914001301978715,707840,707840,2272336281600,0,628800,0
slowheat_replay_hidden_beta_30_budget_0.25,0.94056,0.02180000000000004,-0.02180000000000004,-0.0006000000000000033,0.94056,0.02180000000000004,0.0,20.776444113987964,707840,707840,2276617128960,4280847360,628800,0
derpp,0.95548,0.00799999999999998,-0.00799999999999998,0.00595,0.95548,0.00799999999999998,0.0,12.661180561000947,707840,707840,2272336281600,0,628800,8000
slowheat_derpp_hidden_beta_30_budget_0.25,0.9552799999999999,0.0032500000000000306,-0.003150000000000014,-0.006200000000000001,0.9552799999999999,0.0032500000000000306,0.0,20.85093707300257,707840,707840,2276617128960,4280847360,628800,8000
er_ace,0.93696,0.031100000000000017,-0.031100000000000017,0.02195,0.93696,0.031100000000000017,0.0,12.811495473026298,707840,707840,2272336281600,0,628800,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.9413199999999999,0.02115000000000003,-0.02115000000000003,-0.00040000000000000105,0.9413199999999999,0.02115000000000003,0.0,20.7973937849747,707840,707840,2276617128960,4280847360,628800,0
