method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1881,0.904,-0.904,0.000125,0.6185,0.366,0.43040000000000006,36.45221543998923,201600,201600,184790030745600,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1861,0.900625,-0.900625,0.000125,0.5313,0.469125,0.3452,43.401795011013746,201600,201600,184888347033600,98316288000,98316288000,11008,0,11008,0,0,0,0,0.0
slowheat,0.1816,0.8831249999999999,-0.8831249999999999,0.0,0.5892999999999999,0.3735,0.40769999999999995,56.168219507992035,201600,201600,184806788477390,16757731790,0,0,33324,33324,0,0,0,0,0.0
dualheat,0.1733,0.855125,-0.855125,0.001375,0.5847,0.340875,0.4114,66.57798415099387,201600,201600,184905104765390,115074019790,98316288000,11008,33324,44332,0,0,0,0,0.0
lpr,0.2331,0.851,-0.851,0.0,0.7644,0.187375,0.5313,67.54003562999424,282240,282680,353954071976920,95113591741400,0,0,0,0,2459200,0,6400,0,0.012862815958214924
slowheat_lpr,0.26980000000000004,0.793625,-0.793625,0.0,0.7862,0.149625,0.5164,92.24412711200421,282240,282680,353971701249880,95131221014360,0,0,33184,33184,2459200,0,6400,0,0.013226804992882535
dualheat_lpr,0.2835,0.7701250000000001,-0.7701250000000001,0.0,0.7865,0.143125,0.503,97.39582889701705,282240,282680,354109558632280,95269078396760,137857382400,11008,33184,44192,2459200,0,6400,0,0.012891541002318263
classifier_expander,0.3921,0.37975000000000003,-0.348125,0.0,0.8176,0.11187499999999997,0.4255,56.36679404898314,282944,363584,283990012329984,0,0,0,0,0,2459200,0,6400,0,0.012835144967539236
slowheat_classifier_expander,0.46390000000000003,0.26225,-0.03574999999999999,0.0,0.8577999999999999,0.06812499999999999,0.39389999999999986,80.75676064097206,282944,363584,284007641602944,17629272960,0,0,33184,33184,2459200,0,6400,0,0.012796538969269022
dualheat_classifier_expander,0.4367,0.219375,0.053125000000000006,0.001,0.8573000000000001,0.05812499999999998,0.4206000000000001,87.04850899500889,282944,363584,284184954248064,194941918080,177312645120,11008,33184,44192,2459200,0,6400,0,0.013126737030688673
scroll,0.1,0.24450000000000002,-0.15637500000000001,0.0,0.5041,0.11062500000000001,0.4041,12.218037029990228,41088,81088,49905259599493,21728548485,0,0,0,0,2459200,0,6400,0,0.013032576971454546
slowheat_scroll,0.23489999999999997,0.11787500000000001,-0.07300000000000001,0.0,0.6914,0.03425,0.4565,15.820333579991711,41088,81088,49908608012293,25076961285,0,0,33184,33184,2459200,0,6400,0,0.013612391019705683
dualheat_scroll,0.2387,0.06862500000000002,-0.014375000000000006,0.0,0.6806999999999999,0.013500000000000012,0.44199999999999984,16.94756465899991,41088,81088,49948153008133,64621957125,39544995840,11008,33184,44192,2459200,0,6400,0,0.013357230956899002
