reference,candidate,metric,seed,reference_value,candidate_value,difference
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,919,0.30200000000000005,0.19065000000000001,-0.11135000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1223,0.32155,0.18695,-0.1346
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1523,0.346,0.20220000000000002,-0.14379999999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1823,0.32019999999999993,0.19510000000000002,-0.1250999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,2129,0.2837,0.17554999999999998,-0.10815000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,2423,0.27660000000000007,0.1934,-0.08320000000000008
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,2729,0.23655,0.17850000000000002,-0.05804999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,3037,0.3299,0.2405,-0.08940000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,311,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,617,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,919,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1223,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1523,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1823,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,2129,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,2423,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,2729,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,3037,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,311,7.537521271995502,16.19433877101983,8.656817499024328
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,617,8.085729826008901,16.281903567985864,8.196173741976963
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,919,7.773886586976005,16.12641257600626,8.352525989030255
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1223,8.079972823994467,16.55734381300863,8.477370989014162
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1523,7.301881741004763,16.57448361700517,9.272601876000408
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1823,7.683305836981162,16.390757147979457,8.707451310998295
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,2129,7.8808029089996126,16.513395889021922,8.63259298002231
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,2423,7.799908647022676,16.457364147994667,8.657455500971992
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,2729,8.42176109200227,16.555133307992946,8.133372215990676
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,3037,7.916703515016707,16.03154159898986,8.114838083973154
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,311,505600.0,505600.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,617,505600.0,505600.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,919,505600.0,505600.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1223,505600.0,505600.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1523,505600.0,505600.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1823,505600.0,505600.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,2129,505600.0,505600.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,2423,505600.0,505600.0,0.0
