method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.17099999999999999,0.835125,-0.835125,-0.13575,0.6087,0.288,0.43770000000000003,38.25795291902614,403200,403200,8890889011200,0,0,0
slowheat,0.1708,0.8243750000000001,-0.8243750000000001,-0.1345,0.5780000000000001,0.315375,0.40720000000000006,85.81824107901775,403200,403200,8904964022740,14075011540,0,0
slowheat_replay,0.209,0.7795,-0.7795,-0.13412500000000002,0.7416,0.11562499999999998,0.5326000000000001,100.53010634001112,564480,564480,12462316982740,15072367060,2459200,0
slowheat_distillation,0.1715,0.828125,-0.828125,-0.1345,0.6503,0.22975,0.4788,96.37259988099686,403200,725760,11275867759060,14075011540,0,0
derpp,0.2157,0.777875,-0.777875,-0.13562500000000002,0.644,0.24375,0.4283,52.15812808499322,564480,564480,12447244615680,0,2459200,8000
slowheat_derpp_hidden_beta_30_budget_0.25,0.2098,0.779625,-0.779625,-0.12937500000000002,0.7105,0.15449999999999997,0.5007,100.67247281200252,564480,564480,12462278243840,15033628160,2459200,8000
er_ace,0.279,0.2475,0.017125000000000022,-0.12275,0.7462,0.10924999999999996,0.46719999999999995,51.54145964398049,564480,564480,12447244615680,0,2459200,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.3106,0.21599999999999997,0.04312499999999998,-0.12325,0.7783,0.07049999999999998,0.4677,105.31403081901954,564480,564480,12462278243840,15033628160,2459200,0
agem,0.176,0.817625,-0.817625,-0.13575,0.6646,0.207625,0.4886,59.617918309988454,564480,564480,12447244615680,0,2459200,0
ewc,0.1714,0.832375,-0.832375,-0.13575,0.6054999999999999,0.28975,0.43409999999999993,60.07188510600827,403200,403200,8927968349170,37079337970,0,0
si,0.1711,0.825375,-0.825375,-0.13575,0.6111000000000001,0.275375,0.44000000000000006,74.84759396602749,403200,403200,8962768144300,71879133100,0,0
lwf_calibrated,0.1732,0.827625,-0.827625,-0.13575,0.7009000000000001,0.168,0.5277000000000001,45.50122094497783,403200,725760,11261792747520,0,0,0
replay_balanced,0.2098,0.780125,-0.780125,-0.13575,0.7307,0.131375,0.5209,51.11143744099536,564480,564480,12447244615680,0,2459200,0
replay_more_epochs,0.19780000000000003,0.788,-0.788,-0.1385,0.7032999999999999,0.15762500000000004,0.5054999999999998,101.58764218099532,1128960,1128960,24894489231360,0,2459200,0
slowheat_replay_hidden_beta_30_budget_0.25,0.20540000000000003,0.7829999999999999,-0.7829999999999999,-0.12862500000000002,0.7291,0.13,0.5236999999999999,109.63104976899922,564480,564480,12462278243840,15033628160,2459200,0
slowheat_hidden_beta_30_budget_0.25,0.1715,0.832875,-0.832875,-0.1295,0.5779,0.324875,0.4064,113.6284030849929,403200,403200,8904931735040,14042723840,0,0
slowheat_replay_hidden_adaptive_beta_30_budget_0.25,0.2098,0.781125,-0.781125,-0.12837500000000002,0.7317,0.131125,0.5219,126.62496197101427,564480,564480,12462278243840,15033628160,2459200,0
slowheat_replay_partial_output_beta_30_budget_0.25,0.2036,0.784625,-0.784625,-0.1345,0.7265999999999999,0.13312500000000002,0.5229999999999999,128.352868699003,564480,564480,12462316982740,15072367060,2459200,0
slowheat_replay_hidden_beta_30_budget_0.25_calibrated,0.22750000000000004,0.753,-0.753,-0.12862500000000002,0.7291,0.13,0.5015999999999999,101.01401255099336,564480,564480,12462278243840,15033628160,2459200,0
