method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1723,0.85775,-0.85775,-0.014249999999999994,0.585,0.341875,0.41269999999999996,7.9718708239961416,201600,201600,6780882124800,0,0,0,0,0,0.0
slowheat_none,0.1733,0.854875,-0.854875,-0.014249999999999994,0.6199,0.296625,0.4466,12.974357572005829,201600,201600,6781002193350,120068550,0,0,0,0,0.0
slowheat_unidirectional,0.17070000000000002,0.828875,-0.828875,-0.014124999999999993,0.6039,0.28737500000000005,0.4332,12.492526651010849,201600,201600,6781002196270,120071470,0,0,0,0,0.0
slowheat,0.1565,0.8054999999999999,-0.8054999999999999,-0.014124999999999993,0.5590999999999999,0.30225,0.40259999999999996,12.949267375021009,201600,201600,6781002196270,120071470,0,0,0,0,0.0
hard_freeze,0.141,0.79175,-0.79175,-0.014124999999999993,0.562,0.26550000000000007,0.42100000000000004,12.690766362997238,201600,201600,6781002196270,120071470,0,0,0,0,0.0
lpr,0.3651,0.621,-0.621,0.154375,0.8244999999999999,0.06499999999999997,0.4593999999999999,11.2642144440033,282240,286520,9558831581462,17610205462,2459200,0,6400,0,0.012829257000703365
slowheat_lpr,0.368,0.5742499999999999,-0.5742499999999999,0.172375,0.8013,0.07062500000000002,0.4333,15.065556102985283,282240,286520,9558970506742,17749130742,2459200,0,6400,0,0.012878551991889253
classifier_expander,0.3219,0.311875,-0.224125,-0.009999999999999995,0.8069000000000001,0.05737500000000001,0.48500000000000004,11.937405300006503,282944,363584,10421031862272,0,2459200,0,6400,0,0.014115757949184626
slowheat_classifier_expander,0.31930000000000003,0.24675,-0.07712500000000001,-0.009499999999999993,0.7792000000000001,0.06249999999999997,0.4599000000000001,15.808826674008742,282944,363584,10421170787552,138925280,2459200,0,6400,0,0.01304285298101604
scroll,0.31779999999999997,0.20024999999999998,-0.012000000000000025,-0.129875,0.6986000000000001,0.09325,0.38080000000000014,2.9067012460145634,41088,81088,1835848189829,5368792965,2459200,0,6400,0,0.012808017985662445
slowheat_scroll,0.3678,0.17625000000000002,-0.12737500000000002,-0.129875,0.7247000000000001,0.09537500000000002,0.3569000000000001,3.5779775340051856,41088,81088,1835869783909,5390387045,2459200,0,6400,0,0.012798341049347073
