method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1964,0.992,-0.992,-0.22825,0.6108,0.474,0.4144,1.6742408019999857,102400,102400,144231628800,0,0,0,0,0,0.0
slowheat_hidden_beta_30_budget_0.25,0.195,0.99175,-0.99175,-0.22825,0.7418,0.30825,0.5468,3.23189953599649,102400,102400,144576014720,344385920,0,0,0,0,0.0
