method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
replay,0.4412,0.68475,-0.68475,-0.22699999999999998,0.9494,0.05374999999999999,0.5082,6.02661206799894,143360,153360,206619320320,0,628800,0,6400,10000,0.09749053299674415
slowheat_replay_hidden_beta_30_budget_0.25,0.3802,0.75475,-0.75475,-0.21125,0.8766,0.13824999999999998,0.49640000000000006,8.591614855999069,143360,153360,207026620800,407300480,628800,0,6400,10000,0.09750546999566723
