method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.186,0.890875,-0.890875,0.0,0.6151,0.3545,0.4291,65.23680231400067,201600,201600,184790030745600,0,0,0,0,0,0.0
slowheat_none,0.1872,0.8905,-0.8905,0.0,0.5646,0.41874999999999996,0.37739999999999996,225.0953540559858,201600,201600,184806788358150,16757612550,0,0,0,0,0.0
slowheat_unidirectional,0.1843,0.8681249999999999,-0.8681249999999999,0.0,0.6033999999999999,0.34425,0.4190999999999999,235.45601766800974,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
slowheat,0.1803,0.8612500000000001,-0.8612500000000001,0.0,0.5795999999999999,0.36212500000000003,0.3992999999999999,238.3965039710165,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
hard_freeze,0.1627,0.7625000000000001,-0.7625000000000001,0.0,0.5685,0.27325,0.4058,242.34647551301168,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
lpr,0.24620000000000003,0.7985,-0.7985,0.00025,0.7668,0.15137500000000004,0.5206,133.51867971898173,282240,282680,353954071976920,95113591741400,2459200,0,6400,0,0.013414222979918122
slowheat_lpr,0.2746,0.7713750000000001,-0.7713750000000001,0.0,0.8025,0.11387499999999998,0.5279,354.1935440050147,282240,282680,353971701249880,95131221014360,2459200,0,6400,0,0.012921111017931253
classifier_expander,0.41370000000000007,0.346125,-0.2335,0.0,0.8382000000000002,0.07375000000000001,0.4245000000000001,114.7518099869776,282944,363584,283990012329984,0,2459200,0,6400,0,0.012600816000485793
slowheat_classifier_expander,0.395,0.28237500000000004,-0.056625000000000016,0.0,0.8327,0.077125,0.4377,257.4224999829894,282944,363584,284007641602944,17629272960,2459200,0,6400,0,0.013290570001117885
scroll,0.14529999999999998,0.42962500000000003,-0.36124999999999996,0.0,0.5635000000000001,0.12499999999999999,0.4182000000000001,21.20512610001606,41088,81088,49905259599493,21728548485,2459200,0,6400,0,0.012813788023777306
slowheat_scroll,0.1849,0.3095,-0.284875,0.0,0.6658000000000001,0.036250000000000004,0.48090000000000005,51.5701096309931,41088,81088,49908608012293,25076961285,2459200,0,6400,0,0.013029186025960371
