method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1644,0.8720000000000001,-0.8720000000000001,-0.06774999999999999,0.5789,0.35387500000000005,0.4145,175.44040948100155,201600,201600,671839322112000,0,0,0,0,0,0.0
slowheat_none,0.1756,0.873,-0.873,-0.079125,0.5729,0.376375,0.3973,267.03455942397704,201600,201600,671862384663750,23062551750,0,0,0,0,0.0
slowheat_unidirectional,0.1673,0.8571249999999999,-0.8571249999999999,-0.07625,0.5673,0.357125,0.4,231.2916558989964,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
slowheat,0.1341,0.83375,-0.83375,-0.080375,0.5341,0.33375,0.4,302.96696543099824,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
hard_freeze,0.1422,0.80475,-0.80475,-0.07825,0.5568,0.2865,0.41459999999999997,299.86389228800545,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
lpr,0.2344,0.8093750000000001,-0.8093750000000001,-0.06874999999999999,0.7728999999999999,0.138375,0.5385,277.66087895300006,282240,282680,1044729819647380,103665996696980,2459200,0,6400,0,0.014135355973849073
slowheat_lpr,0.22519999999999998,0.807875,-0.807875,-0.08225,0.7751999999999999,0.12300000000000003,0.5499999999999999,424.1349963370012,282240,282680,1044755054582100,103691231631700,2459200,0,6400,0,0.01561586998286657
classifier_expander,0.3643,0.35,-0.28137500000000004,-0.073,0.8284,0.050375,0.4641,270.1423628049961,282944,363584,1032499732807680,0,2459200,0,6400,0,0.013267820962937549
slowheat_classifier_expander,0.3459,0.368,-0.334125,-0.06649999999999999,0.8317,0.033625000000000016,0.4858,369.8089457050082,282944,363584,1032524967742400,25234934720,2459200,0,6400,0,0.013467437966028228
scroll,0.0999,0.337625,-0.335125,-0.125125,0.5069,0.09187499999999998,0.40700000000000003,54.37417317999643,41088,81088,181382798464645,21728548485,2459200,0,6400,0,0.013702744035981596
slowheat_scroll,0.253,0.167875,-0.13262500000000002,-0.125125,0.6976,0.027999999999999997,0.4446,72.94240483202157,41088,81088,181387408025925,26338109765,2459200,0,6400,0,0.013628873013658449
