method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
replay,0.798,0.23800000000000002,-0.23800000000000002,-0.153,0.9872,0.006750000000000006,0.18919999999999992,3.188168530999974,143360,153360,206696120320,76800000,628800,0,6400,10000,0.07854549300100189
slowheat_replay_hidden_beta_30_budget_0.25,0.7901999999999999,0.24450000000000002,-0.24450000000000002,-0.1535,0.9878,0.003250000000000003,0.1976000000000001,4.578587773001345,143360,153360,207103420800,484100480,628800,0,6400,10000,0.0754144380116486
