method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1972,0.9937499999999999,-0.9937499999999999,-0.16674999999999998,0.7388,0.31675,0.5416000000000001,1.47260667901719,102400,102400,144231628800,0,0,0
slowheat,0.19419999999999998,0.9927499999999999,-0.9927499999999999,-0.16674999999999998,0.6054,0.47875,0.41120000000000007,3.6989959920174442,102400,102400,144581142920,349514120,0,0
slowheat_beta_10,0.1954,0.9942499999999999,-0.9942499999999999,-0.16674999999999998,0.619,0.46475,0.4236,3.688199240976246,102400,102400,144581142920,349514120,0,0
slowheat_beta_30,0.19419999999999998,0.9927499999999999,-0.9927499999999999,-0.16674999999999998,0.6054,0.47875,0.41120000000000007,3.6944837780029047,102400,102400,144581142920,349514120,0,0
slowheat_beta_100,0.1926,0.99275,-0.99275,-0.16674999999999998,0.6138,0.46625,0.4212,3.6792279299988877,102400,102400,144581142920,349514120,0,0
slowheat_adaptive,0.193,0.9919999999999999,-0.9919999999999999,-0.16674999999999998,0.6527999999999999,0.41725,0.45979999999999993,3.7045515179925133,102400,102400,144581142920,349514120,0,0
slowheat_native_state,0.19619999999999999,0.9935,-0.9935,-0.16674999999999998,0.9481999999999999,0.05350000000000002,0.752,3.388824418972945,102400,102400,144581142920,349514120,0,0
slowheat_unidirectional,0.196,0.99175,-0.99175,-0.16674999999999998,0.7278,0.327,0.5318,3.616230886982521,102400,102400,144581142920,349514120,0,0
slowheat_unbudgeted,0.1948,0.9917499999999999,-0.9917499999999999,-0.16674999999999998,0.6512,0.42125,0.45640000000000003,3.6951258610060904,102400,102400,144581142920,349514120,0,0
slowheat_none,0.1972,0.9937499999999999,-0.9937499999999999,-0.16674999999999998,0.7388,0.31675,0.5416000000000001,3.68366926300223,102400,102400,144581128000,349499200,0,0
hard_freeze,0.1926,0.98475,-0.98475,-0.16674999999999998,0.8156000000000001,0.206,0.6230000000000001,3.5547667409991845,102400,102400,144581142920,349514120,0,0
replay,0.7378,0.31699999999999995,-0.31699999999999995,-0.16674999999999998,0.9856,0.01100000000000001,0.24780000000000002,2.1989795200061053,143360,143360,201924280320,0,628800,0
distillation,0.1966,0.9954999999999999,-0.9954999999999999,-0.16674999999999998,0.9026,0.11299999999999999,0.706,1.9242673889966682,102400,184320,182693396480,0,0,0
slowheat_replay,0.7644,0.27625,-0.27625,-0.16674999999999998,0.9841999999999999,0.008500000000000008,0.21979999999999988,4.3869917220145,143360,143360,202338347400,414067080,628800,0
slowheat_distillation,0.1964,0.992,-0.992,-0.16674999999999998,0.9044000000000001,0.10699999999999998,0.7080000000000001,4.436928539013024,102400,184320,183042910600,349514120,0,0
derpp,0.8186,0.21325,-0.21325,-0.1665,0.9794,0.017000000000000015,0.16080000000000005,2.6154335570172407,143360,143360,201924280320,0,628800,8000
slowheat_derpp_hidden_beta_30_budget_0.25,0.8356,0.18775,-0.18775,-0.16674999999999998,0.9818,0.014500000000000013,0.1462,4.304984781978419,143360,143360,202331580800,407300480,628800,8000
er_ace,0.7188,0.03225000000000003,0.51025,-0.16674999999999998,0.983,0.012750000000000011,0.2642,2.6052972009929363,143360,143360,201924280320,0,628800,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.7021999999999999,0.04500000000000001,0.5175000000000001,-0.16674999999999998,0.9827999999999999,0.01075000000000001,0.28059999999999996,4.269324577006046,143360,143360,202331580800,407300480,628800,0
agem,0.2492,0.9305000000000001,-0.9305000000000001,-0.16624999999999998,0.9655999999999999,0.03500000000000003,0.7163999999999999,2.7886709189915564,143360,143360,201924280320,0,628800,0
ewc,0.1964,0.9934999999999999,-0.9934999999999999,-0.16674999999999998,0.7622,0.28625,0.5658,2.910778165998636,102400,102400,144834778290,603149490,0,0
si,0.1974,0.9942499999999999,-0.9942499999999999,-0.16674999999999998,0.719,0.34225000000000005,0.5216,3.165655049000634,102400,102400,145402655880,1171027080,0,0
lwf_calibrated,0.1972,0.99525,-0.99525,-0.16674999999999998,0.8808,0.14075000000000001,0.6836,2.2716012619785033,102400,184320,182693396480,0,0,0
replay_balanced,0.7574,0.29225,-0.29225,-0.1665,0.9856,0.01150000000000001,0.22820000000000007,2.3394992990070023,143360,143360,201924280320,0,628800,0
replay_more_epochs,0.7589999999999999,0.29125,-0.29125,-0.16724999999999998,0.9843999999999999,0.013750000000000012,0.22540000000000004,4.757846780004911,286720,286720,403848560640,0,628800,0
replay_early_stopping,0.77,0.26249999999999996,-0.26249999999999996,-0.17775,0.9809999999999999,0.007000000000000006,0.21099999999999985,1.5300145329965744,83968,83968,118269935616,0,628800,0
replay_global_lr_reduction,0.652,0.40149999999999997,-0.40149999999999997,-0.16275,0.9774,0.003250000000000003,0.3254,2.5239151929854415,143360,143360,201924280320,0,628800,0
slowheat_replay_hidden_beta_30_budget_0.25,0.7416,0.30899999999999994,-0.30899999999999994,-0.16674999999999998,0.983,0.01125000000000001,0.24139999999999995,4.179211986978771,143360,143360,202331580800,407300480,628800,0
slowheat_hidden_beta_30_budget_0.25,0.1956,0.9927499999999999,-0.9927499999999999,-0.16674999999999998,0.8406,0.18725,0.645,3.2800619339977857,102400,102400,144576014720,344385920,0,0
slowheat_replay_hidden_adaptive_beta_30_budget_0.25,0.7578,0.28825,-0.28825,-0.16674999999999998,0.9841999999999999,0.010250000000000009,0.22639999999999982,4.150701553997351,143360,143360,202331580800,407300480,628800,0
slowheat_replay_partial_output_beta_30_budget_0.25,0.7609999999999999,0.28325,-0.28325,-0.16674999999999998,0.9857999999999999,0.007000000000000006,0.2248,4.867072805995122,143360,143360,202338347400,414067080,628800,0
slowheat_replay_hidden_beta_30_budget_0.25_calibrated,0.8234,0.19725,-0.19725,-0.16674999999999998,0.983,0.01125000000000001,0.15959999999999996,4.239566795004066,143360,143360,202331580800,407300480,628800,0
