method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
replay,0.3799,0.55475,-0.55475,-0.07750000000000001,0.8082,0.057499999999999996,0.4283,11.298400172003312,282240,282240,9493234974720,0,2459200,0,6400,0,0.012715113996819127
slowheat_replay_hidden_beta_30_budget_0.25,0.3795,0.528375,-0.528375,-0.10375,0.795,0.051125000000000004,0.41550000000000004,15.106029122995096,282240,282240,9493373900000,138925280,2459200,0,6400,0,0.012879243993666023
