method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.69592,0.33399999999999996,-0.33399999999999996,0.027549999999999998,0.69592,0.33399999999999996,0.0,7.838838997995481,505600,505600,1623097344000,0,0,0
slowheat_hidden_beta_30_budget_0.25,0.72316,0.29429999999999995,-0.29429999999999995,0.015550000000000001,0.72316,0.29429999999999995,0.0,16.483364337007515,505600,505600,1626756910080,3659566080,0,0
replay,0.93244,0.038199999999999984,-0.038199999999999984,0.02225,0.93244,0.038199999999999984,0.0,11.509860481019132,707840,707840,2272336281600,0,628800,0
slowheat_replay_hidden_beta_30_budget_0.25,0.93936,0.025000000000000022,-0.025000000000000022,-0.0034000000000000002,0.93936,0.025000000000000022,0.0,20.803392777976114,707840,707840,2276617128960,4280847360,628800,0
derpp,0.95544,0.008050000000000002,-0.008000000000000007,0.0009999999999999957,0.95544,0.008050000000000002,0.0,13.189636297989637,707840,707840,2272336281600,0,628800,8000
slowheat_derpp_hidden_beta_30_budget_0.25,0.9559599999999999,0.0031000000000000194,-0.0031000000000000194,-0.009399999999999999,0.9559599999999999,0.0031000000000000194,0.0,21.257526080997195,707840,707840,2276617128960,4280847360,628800,8000
er_ace,0.93452,0.035750000000000004,-0.035750000000000004,0.0081,0.93452,0.035750000000000004,0.0,12.853130267001688,707840,707840,2272336281600,0,628800,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.94012,0.022699999999999998,-0.022699999999999998,-0.0015000000000000013,0.94012,0.022699999999999998,0.0,20.526081620017067,707840,707840,2276617128960,4280847360,628800,0
