method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
replay,0.88972,0.09065000000000004,-0.09065000000000004,0.0245,0.88972,0.09065000000000004,0.0,58.504716873998404,707840,757840,2325840281600,0,3144000,0,32000,50000,1.0026634260066203
slowheat_replay_hidden_beta_30_budget_0.25,0.907,0.06465000000000001,-0.06465000000000001,0.011049999999999997,0.907,0.06465000000000001,0.0,87.0829947079983,707840,757840,2330121128960,4280847360,3144000,0,32000,50000,1.003505161999783
