method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.0541,0.5224444444444445,-0.5224444444444445,-0.022555555555555558,0.1625,0.402,0.1084,42.71319838799536,409600,409600,9145260441600,0,0,0
slowheat,0.055400000000000005,0.5307777777777779,-0.5307777777777779,-0.02288888888888889,0.1429,0.4335555555555556,0.0875,90.36906332400395,409600,409600,9159854145880,14593704280,0,0
slowheat_replay,0.10590000000000002,0.4783333333333333,-0.4783333333333333,-0.02277777777777778,0.4285,0.13444444444444448,0.3226,106.68523509299848,593920,593920,13276427534680,15799894360,24592000,0
slowheat_distillation,0.054000000000000006,0.537,-0.537,-0.02288888888888889,0.20950000000000002,0.3642222222222223,0.15550000000000003,100.58774355001515,409600,778240,11903432278360,14593704280,0,0
derpp,0.1142,0.4502222222222222,-0.4502222222222222,-0.022111111111111113,0.3898,0.17,0.27559999999999996,58.58993802499026,593920,593920,13260627640320,0,24592000,800000
slowheat_derpp_hidden_beta_30_budget_0.25,0.1095,0.44855555555555554,-0.44855555555555554,-0.021777777777777778,0.42160000000000003,0.12855555555555556,0.31210000000000004,106.47523346799426,593920,593920,13276025799680,15398159360,24592000,800000
er_ace,0.139,0.16211111111111107,0.02888888888888889,-0.020666666666666667,0.4382,0.12400000000000001,0.29919999999999997,57.83816042900435,593920,593920,13260627640320,0,24592000,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.1529,0.14355555555555555,0.07177777777777777,-0.020444444444444446,0.4605,0.10122222222222226,0.3076,105.51399300000048,593920,593920,13276025799680,15398159360,24592000,0
agem,0.0546,0.5310000000000001,-0.5310000000000001,-0.02288888888888889,0.2773,0.2836666666666667,0.22269999999999998,66.0934743359976,593920,593920,13260627640320,0,24592000,0
ewc,0.0578,0.5292222222222223,-0.5292222222222223,-0.023000000000000003,0.164,0.4112222222222222,0.10620000000000002,67.87933079499635,409600,409600,9188184925160,42924483560,0,0
si,0.055700000000000006,0.526888888888889,-0.526888888888889,-0.023000000000000003,0.2017,0.3646666666666667,0.146,82.73105032398598,409600,409600,9224035989920,78775548320,0,0
lwf_calibrated,0.05669999999999999,0.5351111111111112,-0.5351111111111112,-0.023000000000000003,0.4048,0.151,0.3481,51.637433569994755,409600,778240,11888838574080,0,0,0
replay_balanced,0.1026,0.4664444444444445,-0.4664444444444445,-0.023000000000000003,0.4048999999999999,0.14944444444444446,0.3022999999999999,57.753685428993776,593920,593920,13260627640320,0,24592000,0
replay_more_epochs,0.0903,0.4723333333333334,-0.4723333333333334,-0.022333333333333334,0.3725,0.17844444444444446,0.2822,114.13247474300442,1187840,1187840,26521255280640,0,24592000,0
slowheat_replay_hidden_beta_30_budget_0.25,0.1031,0.4776666666666667,-0.4776666666666667,-0.02266666666666667,0.44420000000000004,0.11266666666666664,0.34110000000000007,107.64663269399898,593920,593920,13276025799680,15398159360,24592000,0
slowheat_hidden_beta_30_budget_0.25,0.053500000000000006,0.5245555555555556,-0.5245555555555556,-0.02266666666666667,0.1533,0.4136666666666667,0.09979999999999999,88.13387532500201,409600,409600,9159526138880,14265697280,0,0
slowheat_replay_hidden_adaptive_beta_30_budget_0.25,0.09670000000000001,0.47755555555555557,-0.47755555555555557,-0.02266666666666667,0.41500000000000004,0.14055555555555557,0.3183,107.9472485090082,593920,593920,13276025799680,15398159360,24592000,0
slowheat_replay_partial_output_beta_30_budget_0.25,0.101,0.486111111111111,-0.486111111111111,-0.02288888888888889,0.4269,0.13877777777777778,0.32589999999999997,111.93664565699873,593920,593920,13276427534680,15799894360,24592000,0
slowheat_replay_hidden_beta_30_budget_0.25_calibrated,0.1271,0.41422222222222227,-0.41422222222222227,-0.02266666666666667,0.44420000000000004,0.11266666666666664,0.31710000000000005,111.86833179998212,593920,593920,13276025799680,15398159360,24592000,0
