method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1744,0.8524999999999999,-0.8524999999999999,-0.19849999999999998,0.6855,0.213625,0.5111,7.953006808005739,201600,201600,6780882124800,0,0,0,0,0,0.0
slowheat_none,0.1764,0.8512500000000001,-0.8512500000000001,-0.19824999999999998,0.6715,0.232375,0.4951,12.672120490984526,201600,201600,6781002193350,120068550,0,0,0,0,0.0
slowheat_unidirectional,0.1685,0.838625,-0.838625,-0.198375,0.6125,0.2836249999999999,0.44400000000000006,12.38693548401352,201600,201600,6781002196270,120071470,0,0,0,0,0.0
slowheat,0.1456,0.79775,-0.79775,-0.198375,0.5485,0.294125,0.4029,12.898390051996103,201600,201600,6781002196270,120071470,0,0,0,0,0.0
hard_freeze,0.14250000000000002,0.78925,-0.78925,-0.198375,0.5452999999999999,0.28600000000000003,0.4027999999999999,12.611996149003971,201600,201600,6781002196270,120071470,0,0,0,0,0.0
lpr,0.38839999999999997,0.58775,-0.58775,-0.18325000000000002,0.8286999999999999,0.05625000000000002,0.4402999999999999,11.254588789015543,282240,286520,9558831581462,17610205462,2459200,0,6400,0,0.012969542993232608
slowheat_lpr,0.3924,0.539,-0.539,-0.1575,0.8259000000000001,0.034875000000000045,0.43350000000000005,14.825287571002264,282240,286520,9558970506742,17749130742,2459200,0,6400,0,0.012680123996688053
classifier_expander,0.33209999999999995,0.30662500000000004,-0.14475,-0.192875,0.8237,0.034125000000000016,0.49160000000000004,11.911623201012844,282944,363584,10421031862272,0,2459200,0,6400,0,0.012692021002294496
slowheat_classifier_expander,0.327,0.283875,-0.102,-0.1885,0.8013999999999999,0.044749999999999984,0.4743999999999999,15.642287547991145,282944,363584,10421170787552,138925280,2459200,0,6400,0,0.012580937967868522
scroll,0.30489999999999995,0.30125,-0.19874999999999998,-0.204375,0.7335,0.005250000000000005,0.4286000000000001,2.7856045779772103,41088,81088,1835848189829,5368792965,2459200,0,6400,0,0.01348558603785932
slowheat_scroll,0.3204,0.23150000000000004,-0.22725,-0.204375,0.7672000000000001,0.016999999999999987,0.4468000000000001,3.5133675069955643,41088,81088,1835869783909,5390387045,2459200,0,6400,0,0.01286852202611044
