method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1802,0.893625,-0.893625,-0.125,0.5601,0.41874999999999996,0.3799,36.430240025016246,201600,201600,184790030745600,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1877,0.8983749999999999,-0.8983749999999999,-0.125,0.5458000000000001,0.45075,0.3581000000000001,44.759004149993416,201600,201600,184888347033600,98316288000,98316288000,11008,0,11008,0,0,0,0,0.0
slowheat,0.1757,0.8785,-0.8785,-0.125,0.5751999999999999,0.379125,0.39949999999999997,60.19399602501653,201600,201600,184806788477390,16757731790,0,0,33324,33324,0,0,0,0,0.0
dualheat,0.1803,0.87675,-0.87675,-0.125,0.5803,0.37675000000000003,0.4,67.22362184300437,201600,201600,184905104765390,115074019790,98316288000,11008,33324,44332,0,0,0,0,0.0
lpr,0.2452,0.8237500000000001,-0.8237500000000001,-0.125,0.7884,0.145875,0.5432,67.49047232500743,282240,282680,353954071976920,95113591741400,0,0,0,0,2459200,0,6400,0,0.012716369034023955
slowheat_lpr,0.254,0.805875,-0.805875,-0.124875,0.7696000000000002,0.16324999999999998,0.5156000000000002,92.18014131000382,282240,282680,353971701249880,95131221014360,0,0,33184,33184,2459200,0,6400,0,0.012661232991376892
dualheat_lpr,0.28500000000000003,0.7598750000000001,-0.7598750000000001,-0.124625,0.7803,0.14475,0.49529999999999996,97.14644426500308,282240,282680,354109558632280,95269078396760,137857382400,11008,33184,44192,2459200,0,6400,0,0.01232790300855413
classifier_expander,0.4103,0.363125,-0.312125,-0.125,0.8462,0.08324999999999999,0.43589999999999995,56.224300738977036,282944,363584,283990012329984,0,0,0,0,0,2459200,0,6400,0,0.012481292040320113
slowheat_classifier_expander,0.4358000000000001,0.27949999999999997,-0.04724999999999998,-0.125,0.8565999999999999,0.06799999999999998,0.42079999999999984,80.89465986200958,282944,363584,284007641602944,17629272960,0,0,33184,33184,2459200,0,6400,0,0.012845110963098705
dualheat_classifier_expander,0.40869999999999995,0.23700000000000002,0.18224999999999997,-0.125,0.8587,0.05199999999999999,0.45000000000000007,87.1222927130002,282944,363584,284184954248064,194941918080,177312645120,11008,33184,44192,2459200,0,6400,0,0.013041449972661212
scroll,0.0988,0.443625,-0.32225,-0.125,0.5006,0.114375,0.40180000000000005,12.172921734018018,41088,81088,49905259599493,21728548485,0,0,0,0,2459200,0,6400,0,0.012711257004411891
slowheat_scroll,0.207,0.21100000000000002,-0.12500000000000006,-0.125,0.6567000000000001,0.03262499999999999,0.4497000000000001,15.829342753015226,41088,81088,49908608012293,25076961285,0,0,33184,33184,2459200,0,6400,0,0.012160365033196285
dualheat_scroll,0.23370000000000002,0.189375,-0.189375,-0.125,0.7163999999999999,0.0018749999999999878,0.4826999999999999,16.930778070993256,41088,81088,49948153008133,64621957125,39544995840,11008,33184,44192,2459200,0,6400,0,0.012393696990329772
